bjd7,adm_nm,area_km2,n_stops,n_routes_mean,n_routes_median,headway_mean,headway_cv_mean,n_stops_density
4812125,경상남도 창원시의창구 동읍,59.19039376782226,169,5.609589041095891,5.0,,,2.8551930345811227
4812131,경상남도 창원시의창구 북면,74.44841220801628,214,5.11578947368421,3.0,,,2.874473661064291
4812132,경상남도 창원시의창구 대산면,32.99660868382607,111,3.5714285714285716,4.0,,,3.3639820705092283
4812151,경상남도 창원시의창구 의창동,7.616710119203808,62,10.017857142857142,8.0,,,8.139997325575127
4812152,경상남도 창원시의창구 팔룡동,14.591296089501496,108,7.260869565217392,7.0,,,7.401672842325946
4812153,경상남도 창원시의창구 명곡동,6.935084145314847,39,10.096774193548388,6.0,,,5.623579928204236
4812154,경상남도 창원시의창구 봉림동,12.66002993702247,70,6.415384615384616,5.0,,,5.529212833477975
4812351,경상남도 창원시성산구 반송동,1.9180006318151728,61,6.105263157894737,5.0,,,31.803951984244307
4812352,경상남도 창원시성산구 중앙동,4.623897153116543,38,7.184210526315789,5.5,,,8.218175868031084
4812353,경상남도 창원시성산구 상남동,1.1813642588248396,17,11.714285714285714,4.0,,,14.390142475539868
4812354,경상남도 창원시성산구 사파동,6.48581798804324,37,7.54054054054054,5.0,,,5.704754599683553
4812355,경상남도 창원시성산구 가음정동,2.9393130963633403,37,12.0,10.0,,,12.587975076822602
4812356,경상남도 창원시성산구 성주동,25.930436309050187,74,6.018518518518518,5.0,,,2.8537892350917624
4812357,경상남도 창원시성산구 웅남동,39.38494951597847,113,4.086956521739131,2.0,,,2.8691162839793893
4812351,경상남도 창원시성산구 용지동,2.640353294152222,61,6.105263157894737,5.0,,,23.102968884921967
4812531,경상남도 창원시마산합포구 구산면,51.77233474163213,142,3.622047244094488,3.0,,,2.742777599438882
4812532,경상남도 창원시마산합포구 진동면,33.74635181154343,67,6.19672131147541,5.0,,,1.9853997959293983
4812533,경상남도 창원시마산합포구 진북면,46.574202584382036,97,2.2873563218390807,2.0,,,2.082698030615934
4812534,경상남도 창원시마산합포구 진전면,78.74277385989463,109,3.1372549019607843,2.0,,,1.3842540039793547
4812551,경상남도 창원시마산합포구 현동,19.908985909667535,53,10.090909090909092,8.0,,,2.6621144964628214
4812552,경상남도 창원시마산합포구 가포동,5.40383729708286,14,11.416666666666666,11.0,,,2.5907515771353045
4812553,경상남도 창원시마산합포구 월영동,2.6685674169155122,35,14.235294117647058,9.5,1.5274999999999999,,13.115651408370663
4812554,경상남도 창원시마산합포구 문화동,1.8641473556479893,18,19.125,8.0,1.385574074074074,,9.655889029085412
4812557,경상남도 창원시마산합포구 완월동,2.4847946471484814,16,10.6875,4.5,1.3795833333333332,,6.439163903689746
4812558,경상남도 창원시마산합포구 자산동,1.174023379264312,4,3.5,3.5,,,3.4070871761570483
4812564,경상남도 창원시마산합포구 합포동,0.5740587461794749,11,20.6,9.0,1.454042735042735,,19.161801946591954
4812565,경상남도 창원시마산합포구 산호동,0.8730999071986487,10,20.9,8.5,1.35175,0.037599999999999995,11.453442976629235
4812556,경상남도 창원시마산합포구 반월중앙동,1.096360503434536,19,25.61111111111111,14.0,1.4906204020259575,,17.33006610551845
4812563,경상남도 창원시마산합포구 오동동,1.756387446691896,36,17.933333333333334,11.5,1.4452541629826114,,20.496616545401153
4812561,경상남도 창원시마산합포구 교방동,2.994766714963993,16,6.466666666666667,6.0,,,5.342653209030464
4812725,경상남도 창원시마산회원구 내서읍,56.23149825086047,151,5.958041958041958,4.0,,,2.6853277023912367
4812751,경상남도 창원시마산회원구 회원1동,0.6794338253312908,13,10.76923076923077,12.0,,,19.13357786339416
4812752,경상남도 창원시마산회원구 회원2동,4.57652881349598,13,2.8181818181818183,3.0,,,2.8405808266001906
4812755,경상남도 창원시마산회원구 회성동,8.51579516003707,23,11.391304347826088,17.0,,,2.7008634622794143
4812756,경상남도 창원시마산회원구 양덕1동,1.0136561828730928,11,15.545454545454545,13.0,,,10.851805756091533
4812757,경상남도 창원시마산회원구 양덕2동,1.689499857927658,23,14.782608695652174,10.0,,,13.613496261675818
4812758,경상남도 창원시마산회원구 합성1동,4.049660625006455,15,12.153846153846153,1.0,,,3.7040140863596664
4812759,경상남도 창원시마산회원구 합성2동,2.5433769971042564,12,16.272727272727273,10.0,,,4.718136561611792
4812760,경상남도 창원시마산회원구 구암1동,3.469521803163684,18,8.333333333333334,8.0,,,5.188034842031169
4812761,경상남도 창원시마산회원구 구암2동,0.763466903338133,13,17.083333333333332,10.0,,,17.027588154980453
4812762,경상남도 창원시마산회원구 봉암동,5.643485822481849,22,7.176470588235294,10.0,,,3.898299861471967
4812754,경상남도 창원시마산회원구 석전동,2.091859646223977,19,17.166666666666668,14.5,,,9.08282734661332
4812954,경상남도 창원시진해구 여좌동,4.69937928600607,25,6.0,6.0,,,5.319851511974279
4812955,경상남도 창원시진해구 태백동,1.2199159795975612,19,5.933333333333334,5.0,,,15.574843118513721
4812956,경상남도 창원시진해구 경화동,3.0384732518894952,23,4.0,1.0,,,7.569591071995547
4812957,경상남도 창원시진해구 병암동,1.2326705180290782,8,7.666666666666667,6.0,,,6.489974314297085
4812958,경상남도 창원시진해구 석동,2.256081129982584,13,4.083333333333333,4.5,,,5.762204127872102
4812959,경상남도 창원시진해구 이동,0.9033662075415723,16,5.615384615384615,5.0,,,17.71153256168672
4812960,경상남도 창원시진해구 자은동,5.4363544913405875,24,2.9583333333333335,2.0,,,4.414723145488196
4812961,경상남도 창원시진해구 덕산동,2.4264261599864647,19,3.5789473684210527,1.0,,,7.830446404396657
4812962,경상남도 창원시진해구 풍호동,8.563916293578602,51,4.622222222222222,4.0,,,5.955219347279332
4812963,경상남도 창원시진해구 웅천동,28.15885023878012,95,2.681159420289855,2.0,,,3.373717292944257
4812964,경상남도 창원시진해구 웅동1동,32.352961683839226,43,3.3846153846153846,3.0,,,1.3290900666284016
4812965,경상남도 창원시진해구 웅동2동,15.263792758171844,90,3.5483870967741935,3.0,,,5.896306470213067
4812953,경상남도 창원시진해구 충무동,18.111706334394082,40,6.914285714285715,6.0,,,2.208516373967488
