gu_nm,year,month,yyyymm,youth20_39_persons,youth_pop_year_avg,youth_hh,youth_hh_month,demand_rate_12m,demand_rate_18m,demand_inc_12m,demand_inc_18m,persons_per_youth_household,demand_inc_12m_hh,demand_inc_18m_hh
마산합포구,2020,1,202001,41281,39963.16667,11294,11666.43319,,,,,3.5,0.0,0.0
마산합포구,2020,2,202002,40858,39963.16667,11294,11546.88906,,,,,3.5,0.0,0.0
마산합포구,2020,3,202003,40500,39963.16667,11294,11445.7146,,,,,3.5,0.0,0.0
마산합포구,2020,4,202004,40258,39963.16667,11294,11377.32292,,,,,3.5,0.0,0.0
마산합포구,2020,5,202005,40065,39963.16667,11294,11322.77914,,,,,3.5,0.0,0.0
마산합포구,2020,6,202006,39832,39963.16667,11294,11256.93096,,,,,3.5,0.0,0.0
마산합포구,2020,7,202007,39637,39963.16667,11294,11201.82196,,,,,3.5,0.0,0.0
마산합포구,2020,8,202008,39597,39963.16667,11294,11190.51755,,,,,3.5,0.0,0.0
마산합포구,2020,9,202009,39490,39963.16667,11294,11160.27826,,,,,3.5,0.0,0.0
마산합포구,2020,10,202010,39353,39963.16667,11294,11121.56065,,,,,3.5,0.0,0.0
마산합포구,2020,11,202011,39280,39963.16667,11294,11100.93011,,,,,3.5,0.0,0.0
마산합포구,2020,12,202012,39407,39963.16667,11294,11136.82161,,,,,3.5,0.0,0.0
마산합포구,2021,1,202101,39634,40295.08333,13792,13565.7277,,,,,2.921627271053067,0.0,0.0
마산합포구,2021,2,202102,39891,40295.08333,13792,13653.69237,,,,,2.921627272608603,0.0,0.0
마산합포구,2021,3,202103,40215,40295.08333,13792,13764.58948,,,,,2.921627271080808,0.0,0.0
마산합포구,2021,4,202104,40389,40295.08333,13792,13824.14533,,,,,2.9216272714054288,0.0,0.0
마산합포구,2021,5,202105,40431,40295.08333,13792,13838.52088,,,,,2.921627271483367,0.0,0.0
마산합포구,2021,6,202106,40597,40295.08333,13792,13895.33853,,,,,2.9216272717898293,0.0,0.0
마산합포구,2021,7,202107,40561,40295.08333,13792,13883.01663,,,,,2.9216272717235805,0.0,0.0
마산합포구,2021,8,202108,40527,40295.08333,13792,13871.37928,,,,,2.9216272716609044,0.0,0.0
마산합포구,2021,9,202109,40460,40295.08333,13792,13848.44685,,,,,2.921627272591944,0.0,0.0
마산합포구,2021,10,202110,40408,40295.08333,13792,13830.64855,,,,,2.9216272724969214,0.0,0.0
마산합포구,2021,11,202111,40248,40295.08333,13792,13775.88455,,,,,2.9216272722030032,0.0,0.0
마산합포구,2021,12,202112,40180,40295.08333,13792,13752.60985,,,,,2.9216272720773793,0.0,0.0
마산합포구,2022,1,202201,40076,39245.33333,13778,14069.62513,-0.0147031839827701,-0.0219735073517407,-589.2448012934966,-880.6102806283624,2.8484056703506497,-206.86828685499643,-309.15901123029147
마산합포구,2022,2,202202,39854,39245.33333,13778,13991.68679,-0.0167444205183948,-0.0250111946421914,-667.332135340109,-996.7961512698992,2.8484056710363226,-234.28268737343038,-349.9488016772693
마산합포구,2022,3,202203,39805,39245.33333,13778,13974.48418,-0.0166641206439615,-0.0248917550803107,-663.3153222328875,-990.816310971768,2.8484056718864883,-232.8724903126514,-347.8494375822367
마산합포구,2022,4,202204,39688,39245.33333,13778,13933.40858,-0.0173383617000697,-0.0258944826037248,-688.1248991523682,-1027.7002255766315,2.848405669878088,-241.58247767489524,-360.7984060854004
마산합포구,2022,5,202205,39559,39245.33333,13778,13888.12008,-0.018095327587002,-0.0270198281925582,-715.8330640142142,-1068.8773834694105,2.848405671331148,-251.31008241522116,-375.25461847921787
마산합포구,2022,6,202206,39371,39245.33333,13778,13822.11825,-0.019411674103406,-0.0289757457244734,-764.2570211251997,-1140.8040849182453,2.8484056703826854,-268.3104548877412,-400.5061837856043
마산합포구,2022,7,202207,39204,39245.33333,13778,13763.48896,-0.0204376858659067,-0.0304993539909739,-801.2390366870092,-1195.6966738621416,2.848405670534283,-281.2938637833559,-419.7775219419015
마산합포구,2022,8,202208,39063,39245.33333,13778,13713.98758,-0.0211511550647235,-0.0315583721945207,-826.2275702932956,-1232.7646930345634,2.8484056713722063,-290.0666778602727,-432.79112432067467
마산합포구,2022,9,202209,38953,39245.33333,13778,13675.36949,-0.0215322564998847,-0.0321238914321574,-838.7459874400115,-1251.3219429568287,2.8484056703904095,-294.4615635893784,-439.30608479139823
마산합포구,2022,10,202210,38746,39245.33333,13778,13602.69725,-0.0227818726387279,-0.0339774334198451,-882.7064372601549,-1316.489635285321,2.8484056718971673,-309.89491629267553,-462.18474014218594
마산합포구,2022,11,202211,38464,39245.33333,13778,13503.6945,-0.0246371696992688,-0.0367271898492581,-947.644095312678,-1412.674630361866,2.8484056714997514,-332.6928129635838,-495.9527515678833
마산합포구,2022,12,202212,38161,39245.33333,13778,13397.31921,-0.0265847918296355,-0.0396109698936611,-1014.5022410107232,-1511.594222112005,2.848405669957908,-356.16494227302775,-530.6808078830788
마산합포구,2023,1,202301,37901,37052.16667,13156,13457.39267,-0.0280733589822611,-0.0418130983393235,-1064.00837878668,-1584.7582401587024,2.8163702233710626,-377.7942153901599,-562.6952831016021
마산합포구,2023,2,202302,37618,37052.16667,13156,13356.90872,-0.0271642255970124,-0.0404683620039226,-1021.8638385084156,-1522.3388418635632,2.8163702237234425,-362.83008174878324,-540.5322173343114
마산합포구,2023,3,202303,37397,37052.16667,13156,13278.43892,-0.0262206057510869,-0.0390719506386634,-980.5719932733996,-1461.173738034096,2.816370224339594,-348.16871191120913,-518.8145100407473
마산합포구,2023,4,202304,37256,37052.16667,13156,13228.37448,-0.0255011226542769,-0.0380067722473612,-950.069825607742,-1415.9803068476913,2.8163702241970396,-337.3384001311871,-502.767816064166
마산합포구,2023,5,202305,37034,37052.16667,13156,13149.54962,-0.0258814243848752,-0.0385698493357591,-958.4926706694712,-1428.3958003005037,2.8163702233324095,-340.3290741851955,-507.1761476764887
마산합포구,2023,6,202306,36868,37052.16667,13156,13090.6085,-0.0254461941298821,-0.0379254356532834,-938.1502851804946,-1398.2349616652536,2.816370224501023,-333.1061651692852,-496.46703032907516
마산합포구,2023,7,202307,36721,37052.16667,13156,13038.41366,-0.0251497494796685,-0.0374864292945452,-923.523950642908,-1376.5391701249966,2.8163702239832142,-327.912837161288,-488.76357177862315
마산합포구,2023,8,202308,36566,37052.16667,13156,12983.37828,-0.0261956195806665,-0.0390349657740806,-957.869025586652,-1427.3525584950316,2.816370224406648,-340.10763829476844,-506.8057267917416
마산합포구,2023,9,202309,36769,37052.16667,13156,13055.45687,-0.0235165321491691,-0.035066592908324,-864.6793705928006,-1289.3635546461664,2.816370224813128,-307.0190712054463,-457.81039129247233
마산합포구,2023,10,202310,36900,37052.16667,13156,13101.97064,-0.0212250626857106,-0.0316680528659507,-783.2048131027237,-1168.551150753583,2.816370225051886,-278.0901481403407,-414.91389887565464
마산합포구,2023,11,202311,36841,37052.16667,13156,13081.02169,-0.021141363496748,-0.0315438409635877,-778.8689725836931,-1162.1066449395364,2.8163702249774345,-276.55063445713483,-412.6256678306019
마산합포구,2023,12,202312,36755,37052.16667,13156,13050.48594,-0.0229554848643078,-0.0342348568249001,-843.7288461876359,-1258.3021625992042,2.8163702232225076,-299.5802324675327,-446.78151765127217
마산합포구,2024,1,202401,36590,36091.25,12958,13137.0684,-0.0262858045584397,-0.0391684565532974,-961.7975887933108,-1433.1738252851549,2.785248495775511,-345.3184124332549,-514.5586928630972
마산합포구,2024,2,202402,36307,36091.25,12958,13035.46167,-0.030892813990956,-0.0459794693791937,-1121.6253975696395,-1669.3765947503866,2.785248495153605,-402.7020926575467,-599.3636106994186
마산합포구,2024,3,202403,36366,36091.25,12958,13056.6447,-0.0329791891535392,-0.0490586536293494,-1199.3211927576083,-1784.0669978849228,2.7852484949674703,-430.59755527185575,-640.5414098987816
마산합포구,2024,4,202404,36321,36091.25,12958,13040.48815,-0.0347683243759875,-0.0516965112389363,-1262.8203096602433,-1877.668984709408,2.7852484954713908,-453.3959220204216,-674.1477422076916
마산합포구,2024,5,202405,36283,36091.25,12958,13026.84484,-0.0354392878072684,-0.0526851335435801,-1285.8436795111215,-1911.57470036172,2.7852484961354618,-461.66210350539006,-686.3210600468985
마산합포구,2024,6,202406,36191,36091.25,12958,12993.81368,-0.0375706014872777,-0.0558232088001877,-1359.7176384260692,-2020.2977496875956,2.7852484952670187,-488.185395571218,-725.3563741693762
마산합포구,2024,7,202407,36140,36091.25,12958,12975.50293,-0.0377383785775421,-0.05607009080152,-1363.865001792373,-2026.373081566934,2.7852484944103817,-489.6744418063474,-727.5376274804893
마산합포구,2024,8,202408,36046,36091.25,12958,12941.75369,-0.0383045957269793,-0.056903113743461,-1380.727457574696,-2051.129637996796,2.785248495947847,-495.72864309359267,-736.4260822619265
마산합포구,2024,9,202409,35879,36091.25,12958,12881.79495,-0.0392623349919523,-0.0583115888115204,-1408.6933171762569,-2092.161494968542,2.7852484952029144,-505.76934862453953,-751.1579302787204
마산합포구,2024,10,202410,35783,36091.25,12958,12847.32765,-0.0397083977424589,-0.0589673401851296,-1420.885596418408,-2110.028333844493,2.7852484948494327,-510.1467962538903,-757.5727400073717
마산합포구,2024,11,202411,35678,36091.25,12958,12809.62904,-0.039379023983129,-0.0584831465708141,-1404.9648176700798,-2086.561703353505,2.7852484945965306,-504.4306891811469,-749.1474126640766
마산합포구,2024,12,202412,35511,36091.25,12958,12749.67029,-0.0403394178031087,-0.0598947349324842,-1432.4930656061963,-2126.9219321874466,2.785248496022088,-514.3142766801933,-763.6381224961191
마산회원구,2020,1,202001,46051,45062.41667,11241,11487.60606,,,,,3.5,0.0,0.0
마산회원구,2020,2,202002,45898,45062.41667,11241,11449.4396,,,,,3.5,0.0,0.0
마산회원구,2020,3,202003,45643,45062.41667,11241,11385.82883,,,,,3.5,0.0,0.0
마산회원구,2020,4,202004,45558,45062.41667,11241,11364.62524,,,,,3.5,0.0,0.0
마산회원구,2020,5,202005,45345,45062.41667,11241,11311.49154,,,,,3.5,0.0,0.0
마산회원구,2020,6,202006,45166,45062.41667,11241,11266.83928,,,,,3.5,0.0,0.0
마산회원구,2020,7,202007,44946,45062.41667,11241,11211.9594,,,,,3.5,0.0,0.0
마산회원구,2020,8,202008,44566,45062.41667,11241,11117.16688,,,,,3.5,0.0,0.0
마산회원구,2020,9,202009,44494,45062.41667,11241,11099.20619,,,,,3.5,0.0,0.0
마산회원구,2020,10,202010,44491,45062.41667,11241,11098.45783,,,,,3.5,0.0,0.0
마산회원구,2020,11,202011,44419,45062.41667,11241,11080.49714,,,,,3.5,0.0,0.0
마산회원구,2020,12,202012,44172,45062.41667,11241,11018.882,,,,,3.5,0.0,0.0
마산회원구,2021,1,202101,43899,42498.25,10951,11311.94694,,,,,3.5,0.0,0.0
마산회원구,2021,2,202102,43453,42498.25,10951,11197.02112,,,,,3.5,0.0,0.0
마산회원구,2021,3,202103,43216,42498.25,10951,11135.95068,,,,,3.5,0.0,0.0
마산회원구,2021,4,202104,42956,42498.25,10951,11068.95357,,,,,3.5,0.0,0.0
마산회원구,2021,5,202105,42775,42498.25,10951,11022.31327,,,,,3.5,0.0,0.0
마산회원구,2021,6,202106,42583,42498.25,10951,10972.83848,,,,,3.5,0.0,0.0
마산회원구,2021,7,202107,42385,42498.25,10951,10921.8176,,,,,3.5,0.0,0.0
마산회원구,2021,8,202108,42110,42498.25,10951,10850.95527,,,,,3.5,0.0,0.0
마산회원구,2021,9,202109,41857,42498.25,10951,10785.76193,,,,,3.5,0.0,0.0
마산회원구,2021,10,202110,41785,42498.25,10951,10767.20889,,,,,3.5,0.0,0.0
마산회원구,2021,11,202111,41629,42498.25,10951,10727.01062,,,,,3.5,0.0,0.0
마산회원구,2021,12,202112,41331,42498.25,10951,10650.22162,,,,,3.5,0.0,0.0
마산회원구,2022,1,202201,41070,39876.66667,10570,10886.31363,-0.0556286160585012,-0.0822714805248664,-2284.6672615226453,-3378.8897051562644,3.5,-652.7620747207558,-965.3970586160756
마산회원구,2022,2,202202,40701,39876.66667,10570,10788.5038,-0.0575557113512147,-0.0850791382986977,-2342.575007705791,-3462.8060078952963,3.5,-669.3071450587975,-989.3731451129418
마산회원구,2022,3,202203,40452,39876.66667,10570,10722.50205,-0.0580761028765428,-0.0858368244629769,-2349.294513561912,-3472.271223176342,3.5,-671.227003874832,-992.0774923360977
마산회원구,2022,4,202204,40295,39876.66667,10570,10680.88648,-0.0576166646363902,-0.0851678966441378,-2321.663501523345,-3431.8403952755334,3.5,-663.33242900667,-980.5258272215809
마산회원구,2022,5,202205,40119,39876.66667,10570,10634.23464,-0.057387270754483,-0.0848338452291722,-2302.3199153991045,-3403.4490367491617,3.5,-657.8056901140299,-972.4140104997605
마산회원구,2022,6,202206,39955,39876.66667,10570,10590.7636,-0.0570639589805436,-0.0843629582667566,-2279.9904810676203,-3370.721997548262,3.5,-651.4258517336058,-963.0634278709321
마산회원구,2022,7,202207,39817,39876.66667,10570,10554.18432,-0.0565219779296555,-0.083573409653423,-2250.535595225094,-3327.6424521703466,3.5,-643.0101700643125,-950.7549863343847
마산회원구,2022,8,202208,39583,39876.66667,10570,10492.15857,-0.0569038106517936,-0.084129680565522,-2252.4235370299466,-3330.1051458250595,3.5,-643.5495820085562,-951.4586130928741
마산회원구,2022,9,202209,39424,39876.66667,10570,10450.01287,-0.0566005737270556,-0.0836879207128362,-2231.421018615441,-3299.3125861828566,3.5,-637.5488624615546,-942.6607389093876
마산회원구,2022,10,202210,39238,39876.66667,10570,10400.71036,-0.0565572254906339,-0.0836247645864619,-2219.1924138014933,-3281.268512843594,3.5,-634.0549753718552,-937.505289383884
마산회원구,2022,11,202211,39062,39876.66667,10570,10354.05851,-0.0564386462247943,-0.0834519933491587,-2204.606398832916,-3259.8017642048394,3.5,-629.8875425236903,-931.3719326299541
마산회원구,2022,12,202212,38804,39876.66667,10570,10285.67115,-0.0570161347135712,-0.0842932978279885,-2212.454091425419,-3270.917128917268,3.5,-632.1297404072626,-934.5477511192195
마산회원구,2023,1,202301,38633,37601.16667,9883,10154.20459,-0.0568666049238824,-0.0840754825552358,-2196.9275480243487,-3248.088117556428,3.5,-627.6935851498139,-928.0251764446938
마산회원구,2023,2,202302,38344,37601.16667,9883,10078.24452,-0.0581800517606019,-0.0859881481852954,-2230.85590470852,-3297.129554016968,3.5,-637.3874013452914,-942.0370154334195
마산회원구,2023,3,202303,38149,37601.16667,9883,10026.99119,-0.0580316181274608,-0.085772063180648,-2213.848199944503,-3272.118438278541,3.5,-632.5280571270008,-934.8909823652974
마산회원구,2023,4,202304,38021,37601.16667,9883,9993.347981,-0.0585015089545319,-0.0864560570674133,-2224.285871960261,-3287.1457457601223,3.5,-635.5102491315031,-939.1844987886063
마산회원구,2023,5,202305,37859,37601.16667,9883,9950.768292,-0.0583708148000459,-0.0862658300022121,-2209.8606775149383,-3265.938058053748,3.5,-631.3887650042681,-933.125159443928
마산회원구,2023,6,202306,37732,37601.16667,9883,9917.387918,-0.0581839977683372,-0.0859938924266439,-2195.3986037949016,-3244.721549042128,3.5,-627.2567439414005,-927.0632997263223
마산회원구,2023,7,202307,37646,37601.16667,9883,9894.783885,-0.0573670928870544,-0.0848044595659052,-2159.6415788260515,-3192.548684818068,3.5,-617.0404510931576,-912.1567670908765
마산회원구,2023,8,202308,37459,37601.16667,9883,9845.633256,-0.0562633066836462,-0.0831965018986065,-2107.567205062703,-3116.457764619901,3.5,-602.1620585893437,-890.4165041771146
마산회원구,2023,9,202309,37219,37601.16667,9883,9782.552235,-0.0577754481135573,-0.0853990989022819,-2150.3444033384926,-3178.469062044031,3.5,-614.3841152395693,-908.134017726866
마산회원구,2023,10,202310,36909,37601.16667,9883,9701.072582,-0.0603775806222739,-0.0891852486526463,-2228.476123187509,-3291.738342520523,3.5,-636.7074637678597,-940.496669291578
마산회원구,2023,11,202311,36715,37601.16667,9883,9650.08209,-0.0615202232247846,-0.0908461593304534,-2258.714995697969,-3335.4167398176,3.5,-645.347141627991,-952.9762113764572
마산회원구,2023,12,202312,36528,37601.16667,9883,9600.93146,-0.061373214330311,-0.0906325282992905,-2241.8407730576027,-3310.624993716486,3.5,-640.525935159315,-945.8928553475674
마산회원구,2024,1,202401,36559,36044.33333,9884,10025.13079,-0.0591655163356521,-0.0874223246089254,-2163.032111715107,-3196.072765377704,3.5,-618.0091747757449,-913.1636472507726
마산회원구,2024,2,202402,36518,36044.33333,9884,10013.88786,-0.056310608584184,-0.0832654289702867,-2056.350804277232,-3040.6869351369323,3.5,-587.5288012220662,-868.7676957534093
마산회원구,2024,3,202403,36421,36044.33333,9884,9987.288728,-0.0554264802701666,-0.0819768151414687,-2018.687837919738,-2985.677584267432,3.5,-576.7679536913537,-853.0507383621234
마산회원구,2024,4,202404,36273,36044.33333,9884,9946.704484,-0.0548083404482033,-0.0810755202630018,-1988.062933077681,-2940.8523464998643,3.5,-568.0179808793374,-840.2435275713898
마산회원구,2024,5,202405,36144,36044.33333,9884,9911.33038,-0.0546004343114939,-0.0807723110533265,-1973.4780977546384,-2919.434410711433,3.5,-563.8508850727538,-834.1241173461237
마산회원구,2024,6,202406,35992,36044.33333,9884,9869.649265,-0.0545107938945569,-0.0806415696565199,-1961.952493852893,-2902.451375077465,3.5,-560.5578553865408,-829.2718214507042
마산회원구,2024,7,202407,35850,36044.33333,9884,9830.710329,-0.0542878016941033,-0.0803163065354826,-1946.2176907336036,-2879.339589297052,3.5,-556.0621973524582,-822.668454084872
마산회원구,2024,8,202408,35757,36044.33333,9884,9805.208068,-0.0530538608663594,-0.0785157502634851,-1897.0469029984145,-2807.4876821714374,3.5,-542.0134008566898,-802.1393377632678
마산회원구,2024,9,202409,35793,36044.33333,9884,9815.079911,-0.0508314623462248,-0.0752698850949881,-1819.410531758425,-2694.1349972049093,3.5,-519.8315805024071,-769.7528563442598
마산회원구,2024,10,202410,35853,36044.33333,9884,9831.532983,-0.0497562287296654,-0.0736981161151896,-1783.9100686446957,-2642.2985570778933,3.5,-509.6885910413416,-754.9424448793981
마산회원구,2024,11,202411,35777,36044.33333,9884,9810.692425,-0.0492434760632741,-0.072948264589405,-1761.78384311576,-2609.870062215145,3.5,-503.36681231878856,-745.6771606328986
마산회원구,2024,12,202412,35595,36044.33333,9884,9760.784774,-0.0485827351753636,-0.0719816963107412,-1729.302458567067,-2562.188480180834,3.5,-494.0864167334477,-732.0538514802383
성산구,2020,1,202001,64420,62987.75,18261,18676.22863,,,,,3.4493045291018154,0.0,0.0
성산구,2020,2,202002,63935,62987.75,18261,18535.62058,,,,,3.44930452822206,0.0,0.0
성산구,2020,3,202003,63687,62987.75,18261,18463.72203,,,,,3.4493045279018424,0.0,0.0
성산구,2020,4,202004,63585,62987.75,18261,18434.15085,,,,,3.449304528176843,0.0,0.0
성산구,2020,5,202005,63381,62987.75,18261,18375.00849,,,,,3.4493045287294994,0.0,0.0
성산구,2020,6,202006,63123,62987.75,18261,18300.2108,,,,,3.4493045293226894,0.0,0.0
성산구,2020,7,202007,62907,62987.75,18261,18237.58948,,,,,3.4493045294711835,0.0,0.0
성산구,2020,8,202008,62620,62987.75,18261,18154.3843,,,,,3.4493045297052567,0.0,0.0
성산구,2020,9,202009,62357,62987.75,18261,18078.13705,,,,,3.4493045288646043,0.0,0.0
성산구,2020,10,202010,62186,62987.75,18261,18028.56184,,,,,3.4493045286633914,0.0,0.0
성산구,2020,11,202011,61970,62987.75,18261,17965.94052,,,,,3.449304528811832,0.0,0.0
성산구,2020,12,202012,61682,62987.75,18261,17882.44543,,,,,3.4493045283684114,0.0,0.0
성산구,2021,1,202101,61441,66345.41667,22889,21196.98872,,,,,2.898572094914055,0.0,0.0
성산구,2021,2,202102,61167,66345.41667,22889,21102.45942,,,,,2.8985720944938085,0.0,0.0
성산구,2021,3,202103,60850,66345.41667,22889,20993.09523,,,,,2.898572093982732,0.0,0.0
성산구,2021,4,202104,60711,66345.41667,22889,20945.14058,,,,,2.8985720944729034,0.0,0.0
성산구,2021,5,202105,60556,66345.41667,22889,20891.66598,,,,,2.898572093674647,0.0,0.0
성산구,2021,6,202106,60454,66345.41667,22889,20856.47623,,,,,2.898572094985194,0.0,0.0
성산구,2021,7,202107,72421,66345.41667,22889,24985.0608,,,,,2.898572093929025,0.0,0.0
성산구,2021,8,202108,72143,66345.41667,22889,24889.1515,,,,,2.898572094753813,0.0,0.0
성산구,2021,9,202109,72030,66345.41667,22889,24850.16679,,,,,2.8985720944531335,0.0,0.0
성산구,2021,10,202110,71766,66345.41667,22889,24759.08746,,,,,2.8985720946275944,0.0,0.0
성산구,2021,11,202111,71456,66345.41667,22889,24652.13825,,,,,2.898572094451077,0.0,0.0
성산구,2021,12,202112,71150,66345.41667,22889,24546.56903,,,,,2.8985720942524735,0.0,0.0
성산구,2022,1,202201,71011,69907.83333,23005,23368.02583,0.0499109230263168,0.0757929182250474,3544.2245550217845,5382.130916078841,3.0388104034374908,1166.3197384781133,1771.1308708139854
성산구,2022,2,202202,70498,69907.83333,23005,23199.20977,0.0442269954569143,0.067068684272501,3117.9147257215463,4728.208103842776,3.038810403411426,1026.0313451017926,1555.9404754356508
성산구,2022,3,202203,70305,69907.83333,23005,23135.69807,0.0411721308962209,0.0623895794301878,2894.6066626588145,4386.299381839357,3.0388104040467367,952.5459893134865,1443.4264724111088
성산구,2022,4,202204,70410,69907.83333,23005,23170.25107,0.0403072151597017,0.0610660423594737,2838.031019394597,4299.660042530548,3.038810403360899,933.9282951827986,1414.9155333202623
성산구,2022,5,202205,70373,69907.83333,23005,23158.07525,0.0386060835302954,0.0584644912799232,2716.8259162774843,4114.32164484204,3.038810403727313,894.0425875023685,1353.9250885134318
성산구,2022,6,202206,70215,69907.83333,23005,23106.08122,0.0362860706197143,0.054919914366257,2547.826448563242,3856.201787226742,3.0388104036968326,838.4288948937751,1268.9840019421813
성산구,2022,7,202207,70028,69907.83333,23005,23044.54398,0.0339520557525316,0.0513579464153803,2377.594560238289,3596.4942715762577,3.038810403919306,782.4096420006284,1183.5204548917166
성산구,2022,8,202208,69726,69907.83333,23005,22945.16299,0.0311125588410314,0.047029974338286,2169.354277749761,3279.2119907113324,3.03881040332501,713.8827336434329,1079.1104266074906
성산구,2022,9,202209,69493,69907.83333,23005,22868.48825,0.0288335724139656,0.0435606419584251,2003.731447763716,3027.1596916168373,3.0388104032193737,659.3802119542979,996.1660287887019
성산구,2022,10,202210,69205,69907.83333,23005,22773.71432,0.0263965479678962,0.0398549753041101,1826.7731021182603,2758.163565920946,3.0388104034142467,601.1474424550457,907.6458218064606
성산구,2022,11,202211,68957,69907.83333,23005,22692.10344,0.0243116395081097,0.0366882151866891,1676.4577255607255,2529.9092546285265,3.0388104030253795,551.6822385140176,832.53277404533
성산구,2022,12,202212,68673,69907.83333,23005,22598.64581,0.0221615286900933,0.0334257933677861,1521.8986597347812,2295.44950794598,3.038810403834547,500.82053747557313,755.3776652368468
성산구,2023,1,202301,68404,67337.91667,22371,22725.17416,0.020203774416331,0.0304582222391129,1382.018985174708,2083.4642340442847,3.010053939230185,459.134292300475,692.1684049878277
