adm9,bjd7,adm_nm,qol_transit_z,qol_transit_0_100,z_walk_min_to_nearest_station,z_access_index
481212500,4812125,경상남도 창원시의창구 동읍,-1.2861104368244816,47.35316694242841,-1.2861104368244816,-1.2861104368244816
481213100,4812131,경상남도 창원시의창구 북면,-2.4180312861094,22.618259463364105,-2.4180312861093998,-2.4180312861094
481213200,4812132,경상남도 창원시의창구 대산면,-2.2495518980782334,26.29989681257713,-2.249551898078233,-2.2495518980782334
481215100,4812151,경상남도 창원시의창구 의창동,-0.7793916316693821,58.42606375436666,-0.7793916316693821,-0.7793916316693822
481215200,4812152,경상남도 창원시의창구 팔룡동,-0.03330945560334482,74.72956554818089,-0.03330945560334485,-0.0333094556033448
481215300,4812153,경상남도 창원시의창구 명곡동,-0.05686183777898475,74.21489529151582,-0.05686183777898481,-0.056861837778984695
481215400,4812154,경상남도 창원시의창구 봉림동,0.4771869509960897,85.88501108450868,0.47718695099608965,0.47718695099608976
481235100,4812351,경상남도 창원시성산구 반송동,0.6324193010822248,89.27717213496017,0.6324193010822248,0.6324193010822249
481235200,4812352,경상남도 창원시성산구 중앙동,0.9298466264989427,95.77659952917743,0.9298466264989426,0.9298466264989429
481235300,4812353,경상남도 창원시성산구 상남동,0.9602304811475408,96.44055216691284,0.9602304811475407,0.9602304811475408
481235400,4812354,경상남도 창원시성산구 사파동,0.980126647473426,96.87532623576203,0.9801266474734259,0.9801266474734263
481235500,4812355,경상남도 창원시성산구 가음정동,0.6353970703983169,89.3422428053821,0.6353970703983169,0.635397070398317
481235600,4812356,경상남도 창원시성산구 성주동,0.15480116020197188,78.8401874884992,0.15480116020197185,0.15480116020197188
481235700,4812357,경상남도 창원시성산구 웅남동,-0.2739556172636539,69.47092882669983,-0.27395561726365397,-0.2739556172636539
481235100,4812351,경상남도 창원시성산구 용지동,0.9407331392583822,96.01449327063868,0.9407331392583821,0.9407331392583823
481253100,4812531,경상남도 창원시마산합포구 구산면,-2.0873185214801406,29.84504536488544,-2.08731852148014,-2.0873185214801406
481253200,4812532,경상남도 창원시마산합포구 진동면,-1.4731371460981995,43.26623069337729,-1.4731371460981992,-1.4731371460981997
481253300,4812533,경상남도 창원시마산합포구 진북면,-1.9955792396322476,31.849746179555442,-1.9955792396322474,-1.995579239632248
481253400,4812534,경상남도 창원시마산합포구 진전면,-3.453089916621255,0.0,-3.4530899166212543,-3.453089916621256
481255100,4812551,경상남도 창원시마산합포구 현동,-0.41104696064364044,66.47518782870796,-0.41104696064364044,-0.41104696064364044
481255200,4812552,경상남도 창원시마산합포구 가포동,-0.11450391053418182,72.95529190369764,-0.11450391053418184,-0.1145039105341818
481255300,4812553,경상남도 창원시마산합포구 월영동,0.2732756502886453,81.42911016164766,0.2732756502886453,0.27327565028864537
481255400,4812554,경상남도 창원시마산합포구 문화동,0.4457696215656494,85.19847479781323,0.44576962156564937,0.4457696215656495
481255700,4812557,경상남도 창원시마산합포구 완월동,0.5928913070649926,88.41340036552336,0.5928913070649926,0.5928913070649927
481255800,4812558,경상남도 창원시마산합포구 자산동,0.8843452624848903,94.78229676519015,0.8843452624848902,0.8843452624848904
481256400,4812564,경상남도 창원시마산합포구 합포동,0.9545119041848863,96.31558894870501,0.9545119041848863,0.9545119041848863
481256500,4812565,경상남도 창원시마산합포구 산호동,0.7853995953853238,92.62012091808194,0.7853995953853238,0.7853995953853238
481255650,4812556,경상남도 창원시마산합포구 반월중앙동,0.7377441760737768,91.57874740836013,0.7377441760737767,0.737744176073777
481256300,4812563,경상남도 창원시마산합포구 오동동,1.1231182225964857,100.0,1.1231182225964855,1.123118222596486
481256100,4812561,경상남도 창원시마산합포구 교방동,0.7203415793703453,91.19846320418915,0.7203415793703452,0.7203415793703454
481272500,4812725,경상남도 창원시마산회원구 내서읍,-0.4152349408044892,66.38367144585469,-0.4152349408044892,-0.4152349408044892
481275100,4812751,경상남도 창원시마산회원구 회원1동,0.7751234501128412,92.39556502027615,0.7751234501128412,0.7751234501128413
481275200,4812752,경상남도 창원시마산회원구 회원2동,0.4583651772048482,85.47371480561043,0.45836517720484815,0.45836517720484826
481275500,4812755,경상남도 창원시마산회원구 회성동,0.09115512042196461,77.44938449519638,0.09115512042196462,0.09115512042196461
481275600,4812756,경상남도 창원시마산회원구 양덕1동,0.33516594310885933,82.78154630391617,0.3351659431088593,0.3351659431088594
481275700,4812757,경상남도 창원시마산회원구 양덕2동,0.5675825182005081,87.86034884132388,0.567582518200508,0.5675825182005081
481275800,4812758,경상남도 창원시마산회원구 합성1동,-0.054720553490227725,74.26168696321463,-0.054720553490227745,-0.0547205534902277
481275900,4812759,경상남도 창원시마산회원구 합성2동,0.07769903654175042,77.15534009269432,0.07769903654175044,0.07769903654175041
481276000,4812760,경상남도 창원시마산회원구 구암1동,-0.413914359826189,66.41252898332077,-0.413914359826189,-0.413914359826189
481276100,4812761,경상남도 창원시마산회원구 구암2동,-0.1925538009701476,71.24973376338747,-0.1925538009701476,-0.1925538009701476
481276200,4812762,경상남도 창원시마산회원구 봉암동,0.31265031369664065,82.28953132716585,0.31265031369664065,0.3126503136966407
481275450,4812754,경상남도 창원시마산회원구 석전동,0.4109723437083476,84.43807936127065,0.41097234370834757,0.4109723437083477
481295400,4812954,경상남도 창원시진해구 여좌동,-0.06580755309878014,74.01941215247038,-0.0658075530987802,-0.0658075530987801
481295500,4812955,경상남도 창원시진해구 태백동,0.2937104436847876,81.87565439159684,0.2937104436847876,0.2937104436847876
481295600,4812956,경상남도 창원시진해구 경화동,0.44239865615006435,85.12481194610208,0.44239865615006435,0.4423986561500644
481295700,4812957,경상남도 창원시진해구 병암동,0.6463410339892486,89.58139197119785,0.6463410339892485,0.6463410339892486
481295800,4812958,경상남도 창원시진해구 석동,0.834877393593545,93.70131733011137,0.8348773935935448,0.8348773935935452
481295900,4812959,경상남도 창원시진해구 이동,0.8722849398111825,94.51875274999662,0.8722849398111824,0.8722849398111825
481296000,4812960,경상남도 창원시진해구 자은동,0.8922877239323292,94.95585664721065,0.8922877239323291,0.8922877239323292
481296100,4812961,경상남도 창원시진해구 덕산동,0.9561100216219572,96.35051125530585,0.9561100216219572,0.9561100216219572
481296200,4812962,경상남도 창원시진해구 풍호동,0.4151835556393032,84.53010340831663,0.41518355563930315,0.4151835556393032
481296300,4812963,경상남도 창원시진해구 웅천동,-0.362464412178704,67.5368211064557,-0.362464412178704,-0.362464412178704
481296400,4812964,경상남도 창원시진해구 웅동1동,-0.47617496541759907,65.05200070975206,-0.47617496541759907,-0.4761749654175991
481296500,4812965,경상남도 창원시진해구 웅동2동,-1.662626238167948,39.12548607894767,-1.6626262381679477,-1.662626238167948
481295300,4812953,경상남도 창원시진해구 충무동,-0.3346616851988379,68.14437054769722,-0.3346616851988379,-0.3346616851988378
