adm_cd7,year,pop_total,youth_20_34,youth_share,adm_nm
4812000,2020,1036738.0,189313.0,0.1826044767337553,경상남도 창원시
4812000,2021,1032741.0,185840.0,0.17994831230676422,경상남도 창원시
4812000,2022,2042974.0,357980.0,0.17522494167816136,경상남도 창원시
4812000,2023,1009038.0,171922.0,0.17038208670040178,경상남도 창원시
4812000,2024,999858.0,165721.0,0.16574453572407283,경상남도 창원시
4812100,2020,262408.0,51897.0,0.19777217158013474,경상남도 창원시 의창구
4812100,2021,218027.0,41119.0,0.18859590784627592,경상남도 창원시 의창구
4812100,2022,431646.0,78768.0,0.1824828679056449,경상남도 창원시 의창구
4812100,2023,213342.0,37884.0,0.17757403605478528,경상남도 창원시 의창구
4812100,2024,209695.0,36042.0,0.1718782040582751,경상남도 창원시 의창구
4812125,2020,20051.0,3080.0,0.1536082988379632,경상남도 창원시 의창구 동읍
4812125,2021,19769.0,3014.0,0.15246092366836966,경상남도 창원시 의창구 동읍
4812125,2022,38782.0,5790.0,0.1492960651848796,경상남도 창원시 의창구 동읍
4812125,2023,18854.0,2691.0,0.14272833351013048,경상남도 창원시 의창구 동읍
4812125,2024,18279.0,2520.0,0.137863121614968,경상남도 창원시 의창구 동읍
4812131,2020,43411.0,7102.0,0.1635990877888093,경상남도 창원시 의창구 북면
4812131,2021,43422.0,6533.0,0.15045368707106996,경상남도 창원시 의창구 북면
4812131,2022,86184.0,11866.0,0.13768216838392278,경상남도 창원시 의창구 북면
4812131,2023,43163.0,5595.0,0.12962491022403447,경상남도 창원시 의창구 북면
4812131,2024,42941.0,5273.0,0.1227963950536783,경상남도 창원시 의창구 북면
4812132,2020,7225.0,950.0,0.1314878892733564,경상남도 창원시 의창구 대산면
4812132,2021,7118.0,925.0,0.12995223377353188,경상남도 창원시 의창구 대산면
4812132,2022,13912.0,1624.0,0.11673375503162738,경상남도 창원시 의창구 대산면
4812132,2023,6789.0,721.0,0.10620120783620562,경상남도 창원시 의창구 대산면
4812132,2024,6674.0,686.0,0.1027869343721906,경상남도 창원시 의창구 대산면
4812151,2020,50992.0,10292.0,0.2018355820520866,경상남도 창원시 의창구 의창동
4812151,2021,50348.0,9868.0,0.1959958687534758,경상남도 창원시 의창구 의창동
4812151,2022,100186.0,18814.0,0.18779070928073782,경상남도 창원시 의창구 의창동
4812151,2023,49453.0,8926.0,0.18049461104483044,경상남도 창원시 의창구 의창동
4812151,2024,48537.0,8299.0,0.1709829614520881,경상남도 창원시 의창구 의창동
4812152,2020,37958.0,8435.0,0.22221929501027451,경상남도 창원시 의창구 팔룡동
4812152,2021,25927.0,5720.0,0.2206194314806958,경상남도 창원시 의창구 팔룡동
4812152,2022,51514.0,11046.0,0.21442714601855806,경상남도 창원시 의창구 팔룡동
4812152,2023,25568.0,5336.0,0.20869837296620777,경상남도 창원시 의창구 팔룡동
4812152,2024,24886.0,5086.0,0.204371936028289,경상남도 창원시 의창구 팔룡동
4812153,2020,42402.0,8688.0,0.2048959954719117,경상남도 창원시 의창구 명곡동
4812153,2021,41362.0,8280.0,0.20018374353271118,경상남도 창원시 의창구 명곡동
4812153,2022,81112.0,15874.0,0.19570470460597691,경상남도 창원시 의창구 명곡동
4812153,2023,39576.0,7513.0,0.18983727511623205,경상남도 창원시 의창구 명곡동
4812153,2024,39104.0,7245.0,0.18527516366612112,경상남도 창원시 의창구 명곡동
4812154,2020,30336.0,6765.0,0.22300237341772153,경상남도 창원시 의창구 봉림동
4812154,2021,30081.0,6779.0,0.22535819952794123,경상남도 창원시 의창구 봉림동
4812154,2022,59956.0,13754.0,0.22940156114483956,경상남도 창원시 의창구 봉림동
4812154,2023,29939.0,7102.0,0.2372156718661278,경상남도 창원시 의창구 봉림동
4812154,2024,29274.0,6933.0,0.23683131789301087,경상남도 창원시 의창구 봉림동
4812155,2020,30033.0,6585.0,0.21925881530316652,경상남도 창원시 의창구 용지동
4812155,2021,0.0,0.0,,경상남도 창원시 의창구 용지동
4812155,2022,0.0,0.0,,경상남도 창원시 의창구 용지동
4812155,2023,0.0,0.0,,경상남도 창원시 의창구 용지동
4812155,2024,0.0,0.0,,경상남도 창원시 의창구 용지동
4812300,2020,214570.0,46714.0,0.2177098382812136,경상남도 창원시 성산구
4812300,2021,251562.0,54315.0,0.2159109881460634,경상남도 창원시 성산구
4812300,2022,497024.0,104558.0,0.21036811099665206,경상남도 창원시 성산구
4812300,2023,245259.0,50159.0,0.20451441129581382,경상남도 창원시 성산구
4812300,2024,244489.0,48337.0,0.19770623627238854,경상남도 창원시 성산구
4812351,2020,41935.0,7727.0,0.18426135686180994,경상남도 창원시 성산구 반송동
4812351,2021,70480.0,13812.0,0.19597048808172532,경상남도 창원시 성산구 반송동
4812351,2022,134940.0,25312.0,0.18757966503631243,경상남도 창원시 성산구 반송동
4812351,2023,66744.0,12140.0,0.18188900874985017,경상남도 창원시 성산구 반송동
4812351,2024,65171.0,11428.0,0.1753540685274125,경상남도 창원시 성산구 반송동
4812352,2020,22953.0,6735.0,0.2934256959874526,경상남도 창원시 성산구 중앙동
4812352,2021,34507.0,9410.0,0.27269829309995075,경상남도 창원시 성산구 중앙동
4812352,2022,69146.0,18774.0,0.2715124519133428,경상남도 창원시 성산구 중앙동
4812352,2023,34619.0,9342.0,0.26985181547705017,경상남도 창원시 성산구 중앙동
4812352,2024,37763.0,9782.0,0.2590366231496438,경상남도 창원시 성산구 중앙동
4812353,2020,28257.0,5911.0,0.20918710408040486,경상남도 창원시 성산구 상남동
4812353,2021,27699.0,5696.0,0.20563919275064083,경상남도 창원시 성산구 상남동
4812353,2022,54396.0,10652.0,0.19582322229575705,경상남도 창원시 성산구 상남동
4812353,2023,26876.0,5196.0,0.1933323411221908,경상남도 창원시 성산구 상남동
4812353,2024,26359.0,4908.0,0.1861982624530521,경상남도 창원시 성산구 상남동
4812354,2020,45636.0,9781.0,0.2143264089753703,경상남도 창원시 성산구 사파동
4812354,2021,44616.0,9450.0,0.21180742334588487,경상남도 창원시 성산구 사파동
4812354,2022,92518.0,19554.0,0.21135346635249358,경상남도 창원시 성산구 사파동
4812354,2023,45790.0,9422.0,0.2057654509718279,경상남도 창원시 성산구 사파동
4812354,2024,44547.0,8816.0,0.1979033380474555,경상남도 창원시 성산구 사파동
4812355,2020,41241.0,9259.0,0.22450958997114523,경상남도 창원시 성산구 가음정동
4812355,2021,40288.0,8904.0,0.2210087370929309,경상남도 창원시 성산구 가음정동
4812355,2022,79170.0,16808.0,0.2123026398888468,경상남도 창원시 성산구 가음정동
4812355,2023,38216.0,7693.0,0.20130311911241364,경상남도 창원시 성산구 가음정동
4812355,2024,37505.0,7293.0,0.19445407279029464,경상남도 창원시 성산구 가음정동
4812356,2020,26615.0,5843.0,0.21953785459327446,경상남도 창원시 성산구 성주동
4812356,2021,26219.0,5606.0,0.21381440939776497,경상남도 창원시 성산구 성주동
4812356,2022,51854.0,10570.0,0.20384155513557295,경상남도 창원시 성산구 성주동
4812356,2023,25666.0,4988.0,0.19434271020026495,경상남도 창원시 성산구 성주동
4812356,2024,26113.0,4914.0,0.18818213150538046,경상남도 창원시 성산구 성주동
4812357,2020,7933.0,1458.0,0.18378923484180007,경상남도 창원시 성산구 웅남동
4812357,2021,7753.0,1437.0,0.18534760737778924,경상남도 창원시 성산구 웅남동
4812357,2022,15000.0,2888.0,0.19253333333333333,경상남도 창원시 성산구 웅남동
4812357,2023,7348.0,1378.0,0.18753402286336418,경상남도 창원시 성산구 웅남동
4812357,2024,7031.0,1196.0,0.17010382591381026,경상남도 창원시 성산구 웅남동
4812500,2020,175716.0,27458.0,0.15626351612829795,경상남도 창원시 마산합포구
4812500,2021,181322.0,28275.0,0.15593805495196392,경상남도 창원시 마산합포구
4812500,2022,358992.0,54778.0,0.15258835851495298,경상남도 창원시 마산합포구
4812500,2023,179394.0,26537.0,0.147925794619664,경상남도 창원시 마산합포구
4812500,2024,178211.0,25603.0,0.1436667770227427,경상남도 창원시 마산합포구
4812531,2020,4318.0,441.0,0.10213061602593794,경상남도 창원시 마산합포구 구산면
4812531,2021,4202.0,409.0,0.09733460257020467,경상남도 창원시 마산합포구 구산면
4812531,2022,8228.0,772.0,0.09382596013612056,경상남도 창원시 마산합포구 구산면
4812531,2023,4008.0,345.0,0.08607784431137724,경상남도 창원시 마산합포구 구산면
4812531,2024,3919.0,291.0,0.07425363613166625,경상남도 창원시 마산합포구 구산면
4812532,2020,12349.0,1665.0,0.1348287310713418,경상남도 창원시 마산합포구 진동면
4812532,2021,12129.0,1565.0,0.12902959848297468,경상남도 창원시 마산합포구 진동면
4812532,2022,23806.0,2918.0,0.12257414097286398,경상남도 창원시 마산합포구 진동면
4812532,2023,11775.0,1353.0,0.11490445859872611,경상남도 창원시 마산합포구 진동면
4812532,2024,11551.0,1257.0,0.10882174703488876,경상남도 창원시 마산합포구 진동면
4812533,2020,3544.0,370.0,0.1044018058690745,경상남도 창원시 마산합포구 진북면
4812533,2021,3378.0,338.0,0.10005920663114269,경상남도 창원시 마산합포구 진북면
4812533,2022,6618.0,598.0,0.09035962526443034,경상남도 창원시 마산합포구 진북면
4812533,2023,3191.0,258.0,0.08085239736759636,경상남도 창원시 마산합포구 진북면
4812533,2024,3110.0,234.0,0.0752411575562701,경상남도 창원시 마산합포구 진북면
4812534,2020,4004.0,328.0,0.08191808191808192,경상남도 창원시 마산합포구 진전면
4812534,2021,3848.0,280.0,0.07276507276507277,경상남도 창원시 마산합포구 진전면
4812534,2022,7540.0,506.0,0.06710875331564986,경상남도 창원시 마산합포구 진전면
4812534,2023,3687.0,238.0,0.06455112557634933,경상남도 창원시 마산합포구 진전면
4812534,2024,3630.0,213.0,0.05867768595041322,경상남도 창원시 마산합포구 진전면
4812551,2020,14293.0,2089.0,0.14615546071503532,경상남도 창원시 마산합포구 현동
4812551,2021,14124.0,1885.0,0.13346077598414047,경상남도 창원시 마산합포구 현동
4812551,2022,27832.0,3462.0,0.12438919229663696,경상남도 창원시 마산합포구 현동
4812551,2023,13730.0,1539.0,0.11209031318281136,경상남도 창원시 마산합포구 현동
4812551,2024,13605.0,1476.0,0.10848952590959206,경상남도 창원시 마산합포구 현동
4812552,2020,941.0,170.0,0.1806588735387885,경상남도 창원시 마산합포구 가포동
4812552,2021,1543.0,343.0,0.22229423201555412,경상남도 창원시 마산합포구 가포동
4812552,2022,4472.0,1248.0,0.27906976744186046,경상남도 창원시 마산합포구 가포동
4812552,2023,2704.0,727.0,0.26886094674556216,경상남도 창원시 마산합포구 가포동
4812552,2024,4982.0,1260.0,0.25291047771979125,경상남도 창원시 마산합포구 가포동
4812553,2020,35173.0,6432.0,0.1828675404429534,경상남도 창원시 마산합포구 월영동
4812553,2021,42370.0,7750.0,0.1829124380457871,경상남도 창원시 마산합포구 월영동
4812553,2022,84312.0,14798.0,0.17551475472056172,경상남도 창원시 마산합포구 월영동
4812553,2023,41769.0,7044.0,0.16864181570063924,경상남도 창원시 마산합포구 월영동
4812553,2024,40977.0,6583.0,0.16065109695682944,경상남도 창원시 마산합포구 월영동
4812554,2020,11277.0,2195.0,0.19464396559368627,경상남도 창원시 마산합포구 문화동
4812554,2021,10983.0,2207.0,0.20094691796412636,경상남도 창원시 마산합포구 문화동
4812554,2022,22220.0,4736.0,0.21314131413141313,경상남도 창원시 마산합포구 문화동
4812554,2023,10978.0,2341.0,0.21324467116050283,경상남도 창원시 마산합포구 문화동
4812554,2024,10762.0,2319.0,0.21548039397881436,경상남도 창원시 마산합포구 문화동
4812556,2020,14882.0,2249.0,0.1511221609998656,경상남도 창원시 마산합포구 반월중앙동
4812556,2021,14460.0,2140.0,0.1479944674965422,경상남도 창원시 마산합포구 반월중앙동
4812556,2022,27928.0,3994.0,0.143010598682326,경상남도 창원시 마산합포구 반월중앙동
4812556,2023,13581.0,1865.0,0.13732420293056477,경상남도 창원시 마산합포구 반월중앙동
4812556,2024,13247.0,1757.0,0.1326338038801238,경상남도 창원시 마산합포구 반월중앙동
4812557,2020,9274.0,1540.0,0.1660556394220401,경상남도 창원시 마산합포구 완월동
4812557,2021,9001.0,1429.0,0.15876013776247083,경상남도 창원시 마산합포구 완월동
4812557,2022,17692.0,2712.0,0.15328962242821614,경상남도 창원시 마산합포구 완월동
4812557,2023,8632.0,1272.0,0.14735866543095458,경상남도 창원시 마산합포구 완월동
4812557,2024,8354.0,1187.0,0.14208762269571462,경상남도 창원시 마산합포구 완월동
4812558,2020,10874.0,1637.0,0.1505425786279198,경상남도 창원시 마산합포구 자산동
4812558,2021,10286.0,1509.0,0.1467042582150496,경상남도 창원시 마산합포구 자산동
4812558,2022,20036.0,2854.0,0.14244360151726893,경상남도 창원시 마산합포구 자산동
4812558,2023,9409.0,1300.0,0.1381655861409289,경상남도 창원시 마산합포구 자산동
4812558,2024,8945.0,1155.0,0.1291224147568474,경상남도 창원시 마산합포구 자산동
4812561,2020,15508.0,2292.0,0.14779468661336084,경상남도 창원시 마산합포구 교방동
4812561,2021,16106.0,2467.0,0.15317273065938158,경상남도 창원시 마산합포구 교방동
4812561,2022,32002.0,4746.0,0.1483032310480595,경상남도 창원시 마산합포구 교방동
4812561,2023,18838.0,2948.0,0.15649219662384542,경상남도 창원시 마산합포구 교방동
4812561,2024,18963.0,2832.0,0.14934345831355797,경상남도 창원시 마산합포구 교방동
4812563,2020,19688.0,2948.0,0.14973587972368957,경상남도 창원시 마산합포구 오동동
4812563,2021,19334.0,2873.0,0.1485983241957174,경상남도 창원시 마산합포구 오동동
4812563,2022,38152.0,5650.0,0.148091843153701,경상남도 창원시 마산합포구 오동동
4812563,2023,18545.0,2598.0,0.14009166891345376,경상남도 창원시 마산합포구 오동동
4812563,2024,18197.0,2486.0,0.1366159257020388,경상남도 창원시 마산합포구 오동동
4812564,2020,6921.0,951.0,0.13740788903337667,경상남도 창원시 마산합포구 합포동
4812564,2021,7328.0,1098.0,0.14983624454148473,경상남도 창원시 마산합포구 합포동
4812564,2022,14106.0,2018.0,0.14305969091166879,경상남도 창원시 마산합포구 합포동
4812564,2023,6808.0,907.0,0.1332256169212691,경상남도 창원시 마산합포구 합포동
4812564,2024,6555.0,819.0,0.12494279176201373,경상남도 창원시 마산합포구 합포동
4812565,2020,12670.0,2151.0,0.16977111286503552,경상남도 창원시 마산합포구 산호동
4812565,2021,12230.0,1982.0,0.16206050695012264,경상남도 창원시 마산합포구 산호동
4812565,2022,24048.0,3766.0,0.15660345974717232,경상남도 창원시 마산합포구 산호동
4812565,2023,11739.0,1802.0,0.1535054093193628,경상남도 창원시 마산합포구 산호동
4812565,2024,11414.0,1734.0,0.15191869633783073,경상남도 창원시 마산합포구 산호동
4812700,2020,191289.0,31818.0,0.16633470821636373,경상남도 창원시 마산회원구
4812700,2021,186881.0,30320.0,0.16224228252203274,경상남도 창원시 마산회원구
4812700,2022,367324.0,57786.0,0.15731615685335018,경상남도 창원시 마산회원구
4812700,2023,179818.0,27424.0,0.15250975986831128,경상남도 창원시 마산회원구
4812700,2024,178724.0,26575.0,0.14869295673776325,경상남도 창원시 마산회원구
4812725,2020,64835.0,11076.0,0.1708336546618339,경상남도 창원시 마산회원구 내서읍
4812725,2021,63446.0,10690.0,0.16848973930586642,경상남도 창원시 마산회원구 내서읍
4812725,2022,124858.0,20526.0,0.16439475243877044,경상남도 창원시 마산회원구 내서읍
4812725,2023,61089.0,9773.0,0.15997970174663195,경상남도 창원시 마산회원구 내서읍
4812725,2024,59388.0,9269.0,0.1560753014076918,경상남도 창원시 마산회원구 내서읍
4812751,2020,10504.0,1355.0,0.128998476770754,경상남도 창원시 마산회원구 회원1동
4812751,2021,10164.0,1296.0,0.12750885478158205,경상남도 창원시 마산회원구 회원1동
4812751,2022,20046.0,2524.0,0.1259104060660481,경상남도 창원시 마산회원구 회원1동
4812751,2023,9768.0,1163.0,0.11906224406224407,경상남도 창원시 마산회원구 회원1동
4812751,2024,9536.0,1092.0,0.11451342281879194,경상남도 창원시 마산회원구 회원1동
4812752,2020,9994.0,1754.0,0.17550530318190916,경상남도 창원시 마산회원구 회원2동
4812752,2021,10064.0,1764.0,0.17527821939586646,경상남도 창원시 마산회원구 회원2동
4812752,2022,19856.0,3356.0,0.16901692183722805,경상남도 창원시 마산회원구 회원2동
4812752,2023,9717.0,1546.0,0.15910260368426468,경상남도 창원시 마산회원구 회원2동
4812752,2024,9505.0,1434.0,0.15086796422935297,경상남도 창원시 마산회원구 회원2동
4812754,2020,17142.0,2951.0,0.17215027418037568,경상남도 창원시 마산회원구 석전동
4812754,2021,16791.0,2738.0,0.16306354594723363,경상남도 창원시 마산회원구 석전동
4812754,2022,33268.0,5160.0,0.1551040038475412,경상남도 창원시 마산회원구 석전동
4812754,2023,16249.0,2444.0,0.15040925595421256,경상남도 창원시 마산회원구 석전동
4812754,2024,15821.0,2299.0,0.1453131913279818,경상남도 창원시 마산회원구 석전동
4812755,2020,6298.0,881.0,0.13988567799301366,경상남도 창원시 마산회원구 회성동
4812755,2021,6037.0,812.0,0.13450389266191817,경상남도 창원시 마산회원구 회성동
4812755,2022,11540.0,1488.0,0.1289428076256499,경상남도 창원시 마산회원구 회성동
4812755,2023,5456.0,680.0,0.12463343108504399,경상남도 창원시 마산회원구 회성동
4812755,2024,5168.0,581.0,0.11242260061919504,경상남도 창원시 마산회원구 회성동
4812756,2020,11289.0,1920.0,0.17007706617060855,경상남도 창원시 마산회원구 양덕1동
4812756,2021,10970.0,1809.0,0.1649042844120328,경상남도 창원시 마산회원구 양덕1동
4812756,2022,21570.0,3394.0,0.15734816875289753,경상남도 창원시 마산회원구 양덕1동
4812756,2023,10572.0,1613.0,0.15257283390087023,경상남도 창원시 마산회원구 양덕1동
4812756,2024,10290.0,1518.0,0.14752186588921282,경상남도 창원시 마산회원구 양덕1동
4812757,2020,31851.0,5090.0,0.15980659947882328,경상남도 창원시 마산회원구 양덕2동
4812757,2021,31215.0,4821.0,0.15444497837578086,경상남도 창원시 마산회원구 양덕2동
4812757,2022,61430.0,9038.0,0.14712681100439526,경상남도 창원시 마산회원구 양덕2동
4812757,2023,30413.0,4330.0,0.14237332719560714,경상남도 창원시 마산회원구 양덕2동
4812757,2024,32384.0,4654.0,0.14371294466403162,경상남도 창원시 마산회원구 양덕2동
4812758,2020,9479.0,1743.0,0.18388015613461337,경상남도 창원시 마산회원구 합성1동
4812758,2021,9297.0,1683.0,0.18102613746369797,경상남도 창원시 마산회원구 합성1동
4812758,2022,18040.0,3182.0,0.1763858093126386,경상남도 창원시 마산회원구 합성1동
4812758,2023,8871.0,1512.0,0.17044301657084884,경상남도 창원시 마산회원구 합성1동
4812758,2024,8605.0,1387.0,0.1611853573503777,경상남도 창원시 마산회원구 합성1동
4812759,2020,7772.0,1370.0,0.17627380339680906,경상남도 창원시 마산회원구 합성2동
4812759,2021,7489.0,1240.0,0.1655761783949793,경상남도 창원시 마산회원구 합성2동
4812759,2022,14748.0,2444.0,0.16571738540819095,경상남도 창원시 마산회원구 합성2동
4812759,2023,7196.0,1172.0,0.16286826014452474,경상남도 창원시 마산회원구 합성2동
4812759,2024,8336.0,1418.0,0.17010556621880998,경상남도 창원시 마산회원구 합성2동
4812760,2020,9082.0,1350.0,0.14864567275930413,경상남도 창원시 마산회원구 구암1동
4812760,2021,8860.0,1284.0,0.14492099322799096,경상남도 창원시 마산회원구 구암1동
4812760,2022,17346.0,2474.0,0.14262654214228065,경상남도 창원시 마산회원구 구암1동
4812760,2023,8490.0,1177.0,0.1386336866902238,경상남도 창원시 마산회원구 구암1동
4812760,2024,8116.0,1057.0,0.13023656973878758,경상남도 창원시 마산회원구 구암1동
4812761,2020,9674.0,1828.0,0.18896009923506304,경상남도 창원시 마산회원구 구암2동
4812761,2021,9329.0,1725.0,0.1849072783792475,경상남도 창원시 마산회원구 구암2동
4812761,2022,18414.0,3330.0,0.18084066471163246,경상남도 창원시 마산회원구 구암2동
4812761,2023,9004.0,1603.0,0.17803198578409596,경상남도 창원시 마산회원구 구암2동
4812761,2024,8735.0,1496.0,0.17126502575844305,경상남도 창원시 마산회원구 구암2동
4812762,2020,3369.0,500.0,0.14841199168892846,경상남도 창원시 마산회원구 봉암동
4812762,2021,3219.0,458.0,0.14228021124572848,경상남도 창원시 마산회원구 봉암동
4812762,2022,6208.0,870.0,0.1401417525773196,경상남도 창원시 마산회원구 봉암동
4812762,2023,2993.0,411.0,0.13732041430003342,경상남도 창원시 마산회원구 봉암동
4812762,2024,2840.0,370.0,0.13028169014084506,경상남도 창원시 마산회원구 봉암동
4812900,2020,192755.0,31426.0,0.1630359783144406,경상남도 창원시 진해구
4812900,2021,194949.0,31811.0,0.1631760101359843,경상남도 창원시 진해구
4812900,2022,387988.0,62090.0,0.16003072259966802,경상남도 창원시 진해구
4812900,2023,191225.0,29918.0,0.15645443848869134,경상남도 창원시 진해구
4812900,2024,188739.0,29164.0,0.15452026343257091,경상남도 창원시 진해구
4812953,2020,17355.0,3232.0,0.18622875252088736,경상남도 창원시 진해구 충무동
4812953,2021,16962.0,3217.0,0.18965923829737058,경상남도 창원시 진해구 충무동
4812953,2022,32908.0,6182.0,0.1878570560350067,경상남도 창원시 진해구 충무동
4812953,2023,16115.0,3022.0,0.18752714861929878,경상남도 창원시 진해구 충무동
4812953,2024,15495.0,2905.0,0.18747983220393674,경상남도 창원시 진해구 충무동
4812954,2020,8754.0,1178.0,0.13456705506054376,경상남도 창원시 진해구 여좌동
4812954,2021,8469.0,1149.0,0.13567127169677648,경상남도 창원시 진해구 여좌동
4812954,2022,16680.0,2240.0,0.1342925659472422,경상남도 창원시 진해구 여좌동
4812954,2023,8072.0,1066.0,0.13206144697720515,경상남도 창원시 진해구 여좌동
4812954,2024,7811.0,1013.0,0.12968890026885163,경상남도 창원시 진해구 여좌동
4812955,2020,5040.0,657.0,0.13035714285714287,경상남도 창원시 진해구 태백동
4812955,2021,4130.0,543.0,0.1314769975786925,경상남도 창원시 진해구 태백동
4812955,2022,7452.0,984.0,0.1320450885668277,경상남도 창원시 진해구 태백동
4812955,2023,3571.0,462.0,0.12937552506300756,경상남도 창원시 진해구 태백동
4812955,2024,3459.0,447.0,0.12922810060711187,경상남도 창원시 진해구 태백동
4812956,2020,11402.0,1835.0,0.1609366777758288,경상남도 창원시 진해구 경화동
4812956,2021,11097.0,1690.0,0.15229341263404525,경상남도 창원시 진해구 경화동
4812956,2022,21856.0,3178.0,0.14540629575402636,경상남도 창원시 진해구 경화동
4812956,2023,10672.0,1463.0,0.13708770614692653,경상남도 창원시 진해구 경화동
4812956,2024,10466.0,1418.0,0.13548633670934454,경상남도 창원시 진해구 경화동
4812957,2020,7545.0,1140.0,0.15109343936381708,경상남도 창원시 진해구 병암동
4812957,2021,7431.0,1115.0,0.15004709998654286,경상남도 창원시 진해구 병암동
4812957,2022,14602.0,2166.0,0.14833584440487604,경상남도 창원시 진해구 병암동
4812957,2023,7087.0,1004.0,0.14166784252857345,경상남도 창원시 진해구 병암동
4812957,2024,6862.0,966.0,0.1407752841737103,경상남도 창원시 진해구 병암동
4812958,2020,17463.0,3181.0,0.1821565595831186,경상남도 창원시 진해구 석동
4812958,2021,17555.0,3173.0,0.18074622614639704,경상남도 창원시 진해구 석동
4812958,2022,34950.0,6350.0,0.18168812589413447,경상남도 창원시 진해구 석동
4812958,2023,17322.0,3172.0,0.1831197321325482,경상남도 창원시 진해구 석동
4812958,2024,17098.0,3100.0,0.18130775529301674,경상남도 창원시 진해구 석동
4812959,2020,8576.0,1516.0,0.1767723880597015,경상남도 창원시 진해구 이동
4812959,2021,8583.0,1561.0,0.18187114062682047,경상남도 창원시 진해구 이동
4812959,2022,17002.0,3092.0,0.18186095753440773,경상남도 창원시 진해구 이동
4812959,2023,8369.0,1485.0,0.17744055442705223,경상남도 창원시 진해구 이동
4812959,2024,8221.0,1483.0,0.18039167984430118,경상남도 창원시 진해구 이동
4812960,2020,21460.0,3554.0,0.16561043802423112,경상남도 창원시 진해구 자은동
4812960,2021,21235.0,3368.0,0.15860607487638334,경상남도 창원시 진해구 자은동
4812960,2022,41862.0,6406.0,0.1530266112464765,경상남도 창원시 진해구 자은동
4812960,2023,20611.0,3038.0,0.1473970210081995,경상남도 창원시 진해구 자은동
4812960,2024,20215.0,2969.0,0.1468711352955726,경상남도 창원시 진해구 자은동
4812961,2020,10224.0,1750.0,0.1711658841940532,경상남도 창원시 진해구 덕산동
4812961,2021,10154.0,1764.0,0.17372464053574946,경상남도 창원시 진해구 덕산동
4812961,2022,19844.0,3398.0,0.17123563797621447,경상남도 창원시 진해구 덕산동
4812961,2023,9691.0,1677.0,0.17304715715612423,경상남도 창원시 진해구 덕산동
4812961,2024,9248.0,1560.0,0.16868512110726644,경상남도 창원시 진해구 덕산동
4812962,2020,26083.0,3708.0,0.1421615611701108,경상남도 창원시 진해구 풍호동
4812962,2021,25699.0,3502.0,0.1362698937701856,경상남도 창원시 진해구 풍호동
4812962,2022,50690.0,6440.0,0.12704675478398106,경상남도 창원시 진해구 풍호동
4812962,2023,25231.0,3167.0,0.12552019341286513,경상남도 창원시 진해구 풍호동
4812962,2024,24805.0,3044.0,0.1227171941140899,경상남도 창원시 진해구 풍호동
4812963,2020,12733.0,2331.0,0.18306761957119297,경상남도 창원시 진해구 웅천동
4812963,2021,12985.0,2260.0,0.17404697728147864,경상남도 창원시 진해구 웅천동
4812963,2022,26040.0,4380.0,0.16820276497695852,경상남도 창원시 진해구 웅천동
4812963,2023,12980.0,2011.0,0.1549306625577812,경상남도 창원시 진해구 웅천동
4812963,2024,13886.0,2130.0,0.1533919055163474,경상남도 창원시 진해구 웅천동
4812964,2020,6465.0,887.0,0.13720030935808197,경상남도 창원시 진해구 웅동1동
4812964,2021,6975.0,1012.0,0.14508960573476704,경상남도 창원시 진해구 웅동1동
4812964,2022,15756.0,2492.0,0.15816197004315816,경상남도 창원시 진해구 웅동1동
4812964,2023,7802.0,1229.0,0.1575237118687516,경상남도 창원시 진해구 웅동1동
4812964,2024,7657.0,1168.0,0.1525401593313308,경상남도 창원시 진해구 웅동1동
4812965,2020,39655.0,6457.0,0.16282940360610262,경상남도 창원시 진해구 웅동2동
4812965,2021,43674.0,7457.0,0.1707423180839859,경상남도 창원시 진해구 웅동2동
4812965,2022,88346.0,14782.0,0.16731940325538225,경상남도 창원시 진해구 웅동2동
4812965,2023,43702.0,7122.0,0.1629673699144204,경상남도 창원시 진해구 웅동2동
4812965,2024,43516.0,6961.0,0.1599641511168306,경상남도 창원시 진해구 웅동2동
