"관리번호",공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자
48121-00001,사화공원,근린공원,경상남도 창원시 의창구 사화로 213-4,경상남도 창원시 의창구 사화동 산 6-6,35.245934,128.630036,1281283.6,,,,,,1964-08-06,경상남도 창원시 의창구청,055-212-4501,2024-04-05
48121-00002,용동공원,근린공원,경상남도 창원시 의창구 창원대학로 20,경상남도 창원시 의창구 퇴촌동 산 73,35.2459596336,128.694817,184811,,,,,,1975-02-19,경상남도 창원시 의창구청,055-212-4501,2024-04-05
48121-00003,남산공원,근린공원,경상남도 창원시 의창구 팔용로 494-37,경상남도 창원시 의창구 서상동 산 33,35.257674,128.619197,126206,,,,,,1977-04-18,경상남도 창원시 의창구청,055-212-4501,2024-04-05
48121-00004,어린이공원27,어린이공원,,경상남도 창원시 의창구 도계동 305-4,35.260652,128.633595,1591.6,,,,,,1981-07-27,경상남도 창원시 의창구청,055-212-4501,2024-04-05
48121-00005,어린이공원28,어린이공원,,경상남도 창원시 의창구 도계동 398-1,35.257692,128.638075,1618.9,,,,,,1981-07-27,경상남도 창원시 의창구청,055-212-4501,2024-04-05
48121-00006,어린이공원29,어린이공원,,경상남도 창원시 의창구 도계동 413-4,35.257068,128.640606,1600,,,,,,1981-07-27,경상남도 창원시 의창구청,055-212-4501,2024-04-05
48121-00007,한들공원,근린공원,,경상남도 창원시 의창구 봉림동 602-6,35.255975,128.667911,35078,,,,,,1985-11-27,경상남도 창원시 의창구청,055-212-4501,2024-04-05
48121-00008,어린이공원31,어린이공원,,경상남도 창원시 의창구 팔용동 165-9,35.258761,128.610676,2745,,,,,,1986-03-22,경상남도 창원시 의창구청,055-212-4501,2024-04-05
48121-00009,어린이공원32,어린이공원,,경상남도 창원시 의창구 팔용동 182,35.260312,128.613588,4824.1,,,,,,1986-03-22,경상남도 창원시 의창구청,055-212-4501,2024-04-05
48121-00010,어린이공원39,어린이공원,,경상남도 창원시 의창구 팔용동 196,35.260889,128.616997,1921.2,,,,,,1987-03-13,경상남도 창원시 의창구청,055-212-4501,2024-04-05
48121-00011,어린이공원69,어린이공원,,경상남도 창원시 의창구 소답동 123-13,35.266306,128.626391,1602,,,,,,1996-01-24,경상남도 창원시 의창구청,055-212-4501,2024-04-05
48121-00012,어린이공원70,어린이공원,,경상남도 창원시 의창구 소답동 128-5,35.267244,128.627802,1596.6,,,,,,1996-01-24,경상남도 창원시 의창구청,055-212-4501,2024-04-05
48121-00013,어린이공원71,어린이공원,,경상남도 창원시 의창구 소답동 114-4,35.261833,128.626196,1601.6,,,,,,1996-01-24,경상남도 창원시 의창구청,055-212-4501,2024-04-05
48121-00014,어린이공원72,어린이공원,,경상남도 창원시 의창구 소답동 153-3,35.262893,128.630142,1601.2,,,,,,1996-01-24,경상남도 창원시 의창구청,055-212-4501,2024-04-05
48121-00015,어린이공원73,어린이공원,,경상남도 창원시 의창구 소답동 131-12,35.265872,128.627454,1516.8,,,,,,1996-01-24,경상남도 창원시 의창구청,055-212-4501,2024-04-05
48121-00016,도계체육공원,체육공원,경상남도 창원시 의창구 도계두리길 199,경상남도 창원시 의창구 도계동 378-4,35.258352,128.641193,37703,,,,,,1997-12-19,경상남도 창원시 의창구청,055-212-4501,2024-04-05
48121-00017,소계공원,체육공원,,경상남도 창원시 의창구 소계동 790-3,35.260552,128.594495,36747,,,,,,1997-12-19,경상남도 창원시 의창구청,055-212-4501,2024-04-05
48121-00018,어린이공원83,어린이공원,,경상남도 창원시 의창구 봉곡동 5,35.248737,128.655481,690.6,,,,,,1998-12-19,경상남도 창원시 의창구청,055-212-4501,2024-04-05
48121-00019,평산공원,근린공원,경상남도 창원시 의창구 반계로68번길 5,경상남도 창원시 의창구 팔용동 72-1,35.251463,128.6150603714,10777.5,,,,,,1999-08-10,경상남도 창원시 의창구청,055-212-4501,2024-04-05
48121-00020,어린이공원91,어린이공원,,경상남도 창원시 의창구 사림동 72-1,35.244308,128.683062,1252.8,,,,,,2000-04-06,경상남도 창원시 의창구청,055-212-4501,2024-04-05
48121-00021,어린이공원92,어린이공원,,경상남도 창원시 의창구 사림동 155,35.248535,128.686153,1800,,,,,,2000-04-06,경상남도 창원시 의창구청,055-212-4501,2024-04-05
48121-00022,어린이공원93,어린이공원,,경상남도 창원시 의창구 도계동 309-1,35.261897,128.635913,1602.1,,,,,,2000-04-06,경상남도 창원시 의창구청,055-212-4501,2024-04-05
48121-00023,어린이공원94,어린이공원,,경상남도 창원시 의창구 도계동 321-1,35.262883,128.639394,1592.3,,,,,,2000-04-06,경상남도 창원시 의창구청,055-212-4501,2024-04-05
48121-00024,어린이공원95,어린이공원,경상남도 창원시 의창구 하남천동길16번길 3-19,경상남도 창원시 의창구 도계동 358-1,35.260461,128.639848,1710.3,,,,,,2000-04-06,경상남도 창원시 의창구청,055-212-4501,2024-04-05
48121-00025,어린이공원96,어린이공원,,경상남도 창원시 의창구 도계동 341-3,35.259133,128.636174,1598.6,,,,,,2000-04-06,경상남도 창원시 의창구청,055-212-4501,2024-04-05
48121-00026,어린이공원97,어린이공원,,경상남도 창원시 의창구 도계동 419-3,35.255475,128.639977,1593.9,,,,,,2000-04-06,경상남도 창원시 의창구청,055-212-4501,2024-04-05
48121-00027,어린이공원98,어린이공원,,경상남도 창원시 의창구 도계동 406-3,35.255319,128.637489,1597,,,,,,2000-04-06,경상남도 창원시 의창구청,055-212-4501,2024-04-05
48121-00028,어린이공원99,어린이공원,,경상남도 창원시 의창구 명서동 9-2,35.250029,128.639159,1777.2,,,,,,2000-04-06,경상남도 창원시 의창구청,055-212-4501,2024-04-05
48121-00029,기쁨공원,어린이공원,,경상남도 창원시 의창구 명서동 87-1,35.246767,128.640949,1500,,,,,,2000-04-06,경상남도 창원시 의창구청,055-212-4501,2024-04-05
48121-00030,어린이공원101,어린이공원,,경상남도 창원시 의창구 명서동 114-1,35.242347,128.643173,1499.9,,,,,,2000-04-06,경상남도 창원시 의창구청,055-212-4501,2024-04-05
48121-00031,어린이공원102,어린이공원,,경상남도 창원시 의창구 명서동 153-22,35.249003,128.650552,1500.6,,,,,,2000-04-06,경상남도 창원시 의창구청,055-212-4501,2024-04-05
48121-00032,어린이공원103,어린이공원,,경상남도 창원시 의창구 봉곡동 47,35.244884,128.654655,1253.6,,,,,,2000-04-06,경상남도 창원시 의창구청,055-212-4501,2024-04-05
48121-00033,어린이공원104,어린이공원,경상남도 창원시 의창구 봉곡로24번길 9-20,경상남도 창원시 의창구 봉곡동 96-2,35.248349,128.664748,1421.3,,,,,,2000-04-06,경상남도 창원시 의창구청,055-212-4501,2024-04-05
48121-00034,어린이공원105,어린이공원,경상남도 창원시 의창구 봉곡로68번길 16,경상남도 창원시 의창구 봉곡동 106,35.247886,128.666457,8857.8,,,,,,2000-04-06,경상남도 창원시 의창구청,055-212-4501,2024-04-05
48121-00035,어린이공원106,어린이공원,,경상남도 창원시 의창구 봉곡동 124-10,35.247318,128.668137,2084.5,,,,,,2000-04-06,경상남도 창원시 의창구청,055-212-4501,2024-04-05
48121-00036,공룡어린이공원,어린이공원,,경상남도 창원시 의창구 사림동 117-1,35.247101,128.680975,1040.6,,,,,,2000-04-06,경상남도 창원시 의창구청,055-212-4501,2024-04-05
48121-00037,어린이공원110,어린이공원,,경상남도 창원시 의창구 사림동 50,35.242684,128.687526,1037.8,,,,,,2000-04-06,경상남도 창원시 의창구청,055-212-4501,2024-04-05
48121-00038,어린이공원111,어린이공원,,경상남도 창원시 의창구 사림동 26,35.240986,128.687499,1643.1,,,,,,2000-04-06,경상남도 창원시 의창구청,055-212-4501,2024-04-05
48121-00039,어린이공원115,어린이공원,경상남도 창원시 의창구 명서로123번길 9,경상남도 창원시 의창구 명서동 174-9,35.245941,128.648629,1507.3,,,,,,2000-04-06,경상남도 창원시 의창구청,055-212-4501,2024-04-05
48121-00040,어린이공원116,어린이공원,,경상남도 창원시 의창구 사림동 77-8,35.243386,128.680094,1143,,,,,,2000-04-06,경상남도 창원시 의창구청,055-212-4501,2024-04-05
48121-00041,어린이공원117,어린이공원,,경상남도 창원시 의창구 명서동 80-1,35.247327,128.644339,1500,,,,,,2000-04-06,경상남도 창원시 의창구청,055-212-4501,2024-04-05
48121-00042,어린이공원118,어린이공원,,경상남도 창원시 의창구 명서동 35,35.251725,128.647442,1500,,,,,,2000-04-06,경상남도 창원시 의창구청,055-212-4501,2024-04-05
48121-00043,어린이공원119,어린이공원,,경상남도 창원시 의창구 팔용동 93-5,35.253025,128.612921,1561.2,,,,,,2000-04-06,경상남도 창원시 의창구청,055-212-4501,2024-04-05
48121-00044,어린이공원120,어린이공원,,경상남도 창원시 의창구 팔용동 130-5,35.256889,128.611703,1595.6,,,,,,2000-04-06,경상남도 창원시 의창구청,055-212-4501,2024-04-05
48121-00045,어린이공원121,어린이공원,,경상남도 창원시 의창구 팔용동 140-1,35.255135,128.609201,1595.9,,,,,,2000-04-06,경상남도 창원시 의창구청,055-212-4501,2024-04-05
48121-00046,어린이공원122,어린이공원,,경상남도 창원시 의창구 도계동 892,35.253496,128.639565,1894.8,,,,,,2000-04-06,경상남도 창원시 의창구청,055-212-4501,2024-04-05
48121-00047,느티나무생태놀이터,어린이공원,,경상남도 창원시 의창구 서상동 672-5,35.258771,128.624765,3813.9,,,,,,2000-06-29,경상남도 창원시 의창구청,055-212-4501,2024-04-05
48121-00048,어린이공원138,어린이공원,,경상남도 창원시 의창구 서상동 694,35.256127,128.621673,1508.6,,,,,,2000-06-29,경상남도 창원시 의창구청,055-212-4501,2024-04-05
48121-00049,하늘길생태놀이터,어린이공원,,경상남도 창원시 의창구 중동 761-1,35.259973,128.629141,3182.5,,,,,,2000-06-29,경상남도 창원시 의창구청,055-212-4501,2024-04-05
48121-00050,어린이공원150,어린이공원,,경상남도 창원시 의창구 명서동 187-7,35.242654,128.647438,1016.7,,,,,,2003-10-25,경상남도 창원시 의창구청,055-212-4501,2024-04-05
48121-00051,달천공원,근린공원,,경상남도 창원시 의창구 북면 외감리 산112-2,35.283197,128.598252,246291,,,,,,2003-10-17,경상남도 창원시 의창구청,055-212-4501,2024-04-05
48121-00052,어린이공원151,어린이공원,,경상남도 창원시 의창구 봉곡동 157,35.247757,128.674078,504.2,,,,,,2003-10-25,경상남도 창원시 의창구청,055-212-4501,2024-04-05
48121-00053,어린이공원152,어린이공원,,경상남도 창원시 의창구 사림동 85-1,35.246181,128.678751,1013,,,,,,2003-10-25,경상남도 창원시 의창구청,055-212-4501,2024-04-05
48121-00054,어린이공원153,어린이공원,,경상남도 창원시 의창구 명서동 193,35.240835,128.647385,517.7,,,,,,2003-10-25,경상남도 창원시 의창구청,055-212-4501,2024-04-05
48121-00055,소공원3,소공원,경상남도 창원시 의창구 도계로 135,경상남도 창원시 의창구 명서동 26,35.253082,128.643022,8693,,,,,,2003-10-25,경상남도 창원시 의창구청,055-212-4501,2024-04-05
48121-00056,감계1호 근린공원,근린공원,경상남도 창원시 의창구 북면 감계로140번길 37,경상남도 창원시 의창구 북면 감계리 254-1,35.299273,128.587379,33794.7,,,,,,2004-12-02,경상남도 창원시 의창구청,055-212-4501,2024-04-05
48121-00057,감계3호 근린공원,근린공원,,경상남도 창원시 의창구 북면 감계리 237-1,35.300615,128.593886,13147,,,,,,2004-12-02,경상남도 창원시 의창구청,055-212-4501,2024-04-05
48121-00058,감계4호 근린공원,근린공원,,경상남도 창원시 의창구 북면 감계리 738-1,35.303262,128.586402,18807.4,,,,,,2004-12-02,경상남도 창원시 의창구청,055-212-4501,2024-04-05
48121-00059,무동1호 근린공원,근린공원,,경상남도 창원시 의창구 북면 무동리 148-2,35.3166099886,128.586879,10397.3,,,,,,2004-12-02,경상남도 창원시 의창구청,055-212-4501,2024-04-05
48121-00060,근린공원50,근린공원,,경상남도 창원시 의창구 북면 내곡리 산264,35.345175,128.572969,143380,,,,,,2004-12-02,경상남도 창원시 의창구청,055-212-4501,2024-04-05
48121-00061,근린공원51,근린공원,,경상남도 창원시 의창구 북면 내곡리 905,35.340435,128.570053,35258,,,,,,2004-12-02,경상남도 창원시 의창구청,055-212-4501,2024-04-05
48121-00062,내곡4호근린공원,근린공원,,경상남도 창원시 의창구 북면 내곡리 산312-1,35.339373,128.580906,31048,,,,,,2004-12-02,경상남도 창원시 의창구청,055-212-4501,2024-04-05
48121-00063,무성1호근린공원,근린공원,,경상남도 창원시 의창구 동읍 무성리 275,35.291593,128.697118,134372,,,,,,2004-12-02,경상남도 창원시 의창구청,055-212-4501,2024-04-05
48121-00064,제동1호근린공원,근린공원,경상남도 창원시 의창구 대산면 진산대로 430-51,경상남도 창원시 의창구 대산면 제동리 253-1,35.336113,128.710123,58143,,,,,,2004-12-02,경상남도 창원시 의창구청,055-212-4501,2024-04-05
48121-00065,어린이공원156,어린이공원,,경상남도 창원시 의창구 북면 감계리 266-2,35.298903,128.592165,1914.2,,,,,,2004-12-30,경상남도 창원시 의창구청,055-212-4501,2024-04-05
48121-00066,어린이공원157,어린이공원,,경상남도 창원시 의창구 북면 감계리 238-10,35.299798,128.595491,3196.6,,,,,,2004-12-30,경상남도 창원시 의창구청,055-212-4501,2024-04-05
48121-00067,어린이공원158,어린이공원,,경상남도 창원시 의창구 북면 동전리 467-7,35.316062,128.598566,1550.4,,,,,,2004-12-30,경상남도 창원시 의창구청,055-212-4501,2024-04-05
48121-00068,어린이공원159,어린이공원,,경상남도 창원시 의창구 북면 무동리 150-2,35.315362,128.582418,1500,,,,,,2004-12-30,경상남도 창원시 의창구청,055-212-4501,2024-04-05
48121-00069,어린이공원160,어린이공원,,경상남도 창원시 의창구 북면 내곡리 232-5,35.340254,128.5931202643,2746,,,,,,2004-12-30,경상남도 창원시 의창구청,055-212-4501,2024-04-05
48121-00070,어린이공원161,어린이공원,,경상남도 창원시 의창구 북면 내곡리 584,35.342581,128.582208,9397,,,,,,2004-12-30,경상남도 창원시 의창구청,055-212-4501,2024-04-05
48121-00071,어린이공원162,어린이공원,,경상남도 창원시 의창구 북면 내곡리 산288,35.342457,128.576309,1968,,,,,,2004-12-30,경상남도 창원시 의창구청,055-212-4501,2024-04-05
48121-00072,어린이공원163,어린이공원,,경상남도 창원시 의창구 북면 내곡리 1159,35.348063,128.571164,1529,,,,,,2004-12-30,경상남도 창원시 의창구청,055-212-4501,2024-04-05
48121-00073,어린이공원164,어린이공원,경상남도 창원시 의창구 북면 신리길35번길 1,경상남도 창원시 의창구 북면 신촌리 842-1,35.347868,128.604255,1754,,,,,,2004-12-30,경상남도 창원시 의창구청,055-212-4501,2024-04-05
48121-00074,어린이공원165,어린이공원,,경상남도 창원시 의창구 동읍 신방리 920-5,35.289261,128.678468,1590,,,,,,2004-12-30,경상남도 창원시 의창구청,055-212-4501,2024-04-05
48121-00075,어린이공원166,어린이공원,경상남도 창원시 의창구 대산면 대산북로524번길 15-11,경상남도 창원시 의창구 대산면 일동리 666-1,35.366243,128.695805,1500.6,,,,,,2005-02-24,경상남도 창원시 의창구청,055-212-4501,2024-04-05
48121-00076,소공원4,소공원,,경상남도 창원시 의창구 팔용동 214-1,35.254658,128.605407,1591.4,,,,,,2005-04-18,경상남도 창원시 의창구청,055-212-4501,2024-04-05
48121-00077,봉림공원,근린공원,,경상남도 창원시 의창구 봉림동 683,35.251643,128.668681,10764.3,,,,,,2005-12-29,경상남도 창원시 의창구청,055-212-4501,2024-04-05
48121-00078,어린이공원171,어린이공원,,경상남도 창원시 의창구 봉림동 791-14,35.252822,128.666924,1583.4,,,,,,2005-12-29,경상남도 창원시 의창구청,055-212-4501,2024-04-05
48121-00079,어린이공원172,어린이공원,,경상남도 창원시 의창구 봉림동 531,35.254114,128.668875,2677.4,,,,,,2005-12-29,경상남도 창원시 의창구청,055-212-4501,2024-04-05
48121-00080,빛고운 놀이터,어린이공원,,경상남도 창원시 의창구 봉림동 699,35.252141,128.670914,1869.6,,,,,,2005-12-29,경상남도 창원시 의창구청,055-212-4501,2024-04-05
48121-00081,어린이공원174,어린이공원,,경상남도 창원시 의창구 봉림동 791-19,35.250947,128.664317,1506.7,,,,,,2005-12-29,경상남도 창원시 의창구청,055-212-4501,2024-04-05
48121-00082,어린이공원177,어린이공원,,경상남도 창원시 의창구 명서동 25-2,35.252279,128.641471,1507,,,,,,2006-05-25,경상남도 창원시 의창구청,055-212-4501,2024-04-05
48121-00083,어린이공원194,어린이공원,,경상남도 창원시 의창구 북면 감계리 228,35.302904,128.593025,5670.4,,,,,,2007-08-30,경상남도 창원시 의창구청,055-212-4501,2024-04-05
48121-00084,소공원15,소공원,,경상남도 창원시 의창구 북면 감계리 278-1,35.297255,128.593472,1446.2,,,,,,2007-08-30,경상남도 창원시 의창구청,055-212-4501,2024-04-05
48121-00085,어린이공원196,어린이공원,,경상남도 창원시 의창구 북면 무동리 124-3,35.317569,128.582194,1467.2,,,,,,2007-12-20,경상남도 창원시 의창구청,055-212-4501,2024-04-05
48121-00086,어린이공원199,어린이공원,,경상남도 창원시 의창구 북면 감계리 231-6,35.304503,128.599614,5849,,,,,,2008-05-08,경상남도 창원시 의창구청,055-212-4501,2024-04-05
48121-00087,소공원28,소공원,,경상남도 창원시 의창구 북면 고암리 39-3,35.308145,128.638322,750,,,,,,2009-01-08,경상남도 창원시 의창구청,055-212-4501,2024-04-05
48121-00088,가술공원,근린공원,경상남도 창원시 의창구 대산면 주남로503번길 80,경상남도 창원시 의창구 대산면 가술리 699-1,35.333417,128.698647,14219.3,,,,,,2009-08-27,경상남도 창원시 의창구청,055-212-4501,2024-04-05
48121-00089,어린이공원206,어린이공원,,경상남도 창원시 의창구 명서동 111-4,35.242765,128.641215,1607,,,,,,2009-11-12,경상남도 창원시 의창구청,055-212-4501,2024-04-05
48121-00090,어린이공원207,어린이공원,,경상남도 창원시 의창구 명서동 111-3,35.242526,128.641597,2732,,,,,,2009-11-12,경상남도 창원시 의창구청,055-212-4501,2024-04-05
48121-00091,어린이공원209,어린이공원,,경상남도 창원시 의창구 대산면 일동리 840-2,35.366469,128.693606,1496.2,,,,,,2009-12-31,경상남도 창원시 의창구청,055-212-4501,2024-04-05
48121-00092,소공원34,소공원,,경상남도 창원시 의창구 대산면 일동리 843-1,35.3670101284,128.693742,388.1,,,,,,2009-12-31,경상남도 창원시 의창구청,055-212-4501,2024-04-05
48121-00093,소공원36,소공원,경상남도 창원시 의창구 대산면 봉강가술로 390,경상남도 창원시 의창구 대산면 대방리 529,35.344225,128.693424,595,,,,,,2010-08-12,경상남도 창원시 의창구청,055-212-4501,2024-04-05
48121-00094,소공원37,소공원,,경상남도 창원시 의창구 대산면 대방리 526,35.344224,128.692046,570,,,,,,2010-08-12,경상남도 창원시 의창구청,055-212-4501,2024-04-05
48121-00095,소공원38,소공원,경상남도 창원시 의창구 대산면 봉강가술로358번길 1-10,경상남도 창원시 의창구 대산면 대방리 442,35.344733,128.690558,815,,,,,,2010-08-12,경상남도 창원시 의창구청,055-212-4501,2024-04-05
48121-00096,어린이공원214,어린이공원,,경상남도 창원시 의창구 대산면 제동리 823-2,35.331214,128.707658,2643,,,,,,2011-12-05,경상남도 창원시 의창구청,055-212-4501,2024-04-05
48121-00097,창원중앙역세권2호근린공원,근린공원,,경상남도 창원시 의창구 사림동 169,35.237602,128.700461,40486.5,,,,,,2013-10-10,경상남도 창원시 의창구청,055-212-4501,2024-04-05
48121-00098,창원중앙역세권1호근린공원,근린공원,,경상남도 창원시 의창구 사림동 518-2,35.236125,128.695453,15638.4,,,,,,2013-10-10,경상남도 창원시 의창구청,055-212-4501,2024-04-05
48121-00099,소공원50,소공원,,경상남도 창원시 의창구 사림동 164-3,35.238522,128.700058,3848.5,,,,,,2013-10-10,경상남도 창원시 의창구청,055-212-4501,2024-04-05
48121-00100,소공원63,소공원,,경상남도 창원시 의창구 북면 동전리 156,35.316873,128.601892,1450,,,,,,2014-08-21,경상남도 창원시 의창구청,055-212-4501,2024-04-05
48121-00101,소공원64,소공원,,경상남도 창원시 의창구 북면 화천리 687-10,35.315602,128.603373,2980.3,,,,,,2014-08-21,경상남도 창원시 의창구청,055-212-4501,2024-04-05
48121-00102,소공원65,소공원,경상남도 창원시 의창구 북면 천주로 690,경상남도 창원시 의창구 북면 화천리 637-4,35.316218,128.605181,2559.9,,,,,,2014-08-21,경상남도 창원시 의창구청,055-212-4501,2024-04-05
48121-00103,어린이공원218,어린이공원,경상남도 창원시 의창구 북면 동곡로 63,경상남도 창원시 의창구 북면 무동리 121-4,35.320308,128.582229,10114,,,,,,2014-12-08,경상남도 창원시 의창구청,055-212-4501,2024-04-05
48121-00104,어린이공원219,어린이공원,,경상남도 창원시 의창구 북면 내곡리 218,35.339583,128.591749,1704,,,,,,2015-01-15,경상남도 창원시 의창구청,055-212-4501,2024-04-05
48121-00105,어린이공원220,어린이공원,,경상남도 창원시 의창구 북면 마산리 925,35.335028,128.614007,5491,,,,,,2015-03-11,경상남도 창원시 의창구청,055-212-4501,2024-04-05
48121-00106,중동1호문화공원,문화공원,,경상남도 창원시 의창구 중동 793-1,35.258328,128.628492,9161.7,,,,,,2015-08-31,경상남도 창원시 의창구청,055-212-4501,2024-04-05
48121-00107,중동2호문화공원,문화공원,,경상남도 창원시 의창구 중동 775-5,35.259629,128.628138,3778.8,,,,,,2015-08-31,경상남도 창원시 의창구청,055-212-4501,2024-04-05
48121-00108,중동1근린공원,근린공원,,경상남도 창원시 의창구 중동 793-3,35.253611,128.628573,18287.2,,,,,,2015-08-31,경상남도 창원시 의창구청,055-212-4501,2024-04-05
48121-00109,중동2근린공원,근린공원,,경상남도 창원시 의창구 중동 793-2,35.256233,128.628451,17810.2,,,,,,2015-08-31,경상남도 창원시 의창구청,055-212-4501,2024-04-05
48121-00110,공원80,근린공원,,경상남도 창원시 의창구 북면 감계리 286,35.299142,128.585235,28002.2,,,,,,2015-12-24,경상남도 창원시 의창구청,055-212-4501,2024-04-05
48121-00111,어린이공원226,어린이공원,,경상남도 창원시 의창구 동읍 화양리 184-2,35.306164,128.654688,1609,,,,,,2016-06-02,경상남도 창원시 의창구청,055-212-4501,2024-04-05
48121-00112,어린이공원227,어린이공원,경상남도 창원시 의창구 동읍 동읍로 553,경상남도 창원시 의창구 동읍 석산리 163-2,35.313941,128.660097,1953,,,,,,2016-06-02,경상남도 창원시 의창구청,055-212-4501,2024-04-05
48121-00113,어린이공원228,어린이공원,경상남도 창원시 의창구 동읍 주남로 49-8,경상남도 창원시 의창구 동읍 월잠리 468-3,35.303106,128.672536,2866,,,,,,2016-06-02,경상남도 창원시 의창구청,055-212-4501,2024-04-05
48121-00114,어린이공원229,어린이공원,경상남도 창원시 의창구 동읍 주남로128번길 68-7,경상남도 창원시 의창구 동읍 월잠리 176-2,35.303449,128.685664,1948,,,,,,2016-06-02,경상남도 창원시 의창구청,055-212-4501,2024-04-05
48121-00115,어린이공원230,어린이공원,경상남도 창원시 의창구 대산면 제동길43번길 27-1,경상남도 창원시 의창구 대산면 제동리 212,35.336056,128.712159,1734,,,,,,2016-06-02,경상남도 창원시 의창구청,055-212-4501,2024-04-05
